Player,RND,KPR,APR,FKPR,KMAX
"alexis
SR",64,0.64,0.63,0.02,19
"dgzin
HERO",99,1.03,0.14,0.19,27
"Bob
SAD",43,0.81,0.40,0.07,19
"benjyfishy
TH",155,0.89,0.22,0.10,28
"xnfri
VL",21,0.81,0.38,0.10,17
"Haru
Equi",18,1.06,0.11,0.17,19
"nAvarro
BM",22,0.77,0.82,0.09,17
"Jremy
TS",77,0.99,0.30,0.31,30
Clewy,30,0.93,0.13,0.03,28
"Moh
FLC",123,0.85,0.39,0.20,23
"PatMen
ZOL",20,0.90,0.35,0.25,18
"geeza
Grif",68,0.87,0.32,0.15,21
"majusia
INC.GC",20,1.10,0.05,0.15,22
"Akai
FLC",123,1.05,0.11,0.24,25
"mikeE
BC",86,0.92,0.30,0.10,24
Khosoko,37,1.11,0.24,0.19,25
"Movi
PMT",16,0.88,0.44,0.00,14
"micr0
ZOL",20,0.75,0.35,0.15,15
"Meddo
SK",54,0.80,0.20,0.04,17
"shen
1337",23,0.57,0.87,0.09,13
"Lele
VENI",24,0.83,0.42,0.04,20
"Suka
RLF",77,0.90,0.52,0.13,20
"shirazi
XIP",59,0.81,0.22,0.14,16
"dodonut
FLY.R",93,0.96,0.18,0.29,28
"devilasxa
GMX.L",24,0.88,0.38,0.00,21
"srN
MIBR",39,1.03,0.31,0.36,22
"Cunha20
SAW",40,0.85,0.50,0.05,22
"tess
MLT.GC",59,0.80,0.46,0.05,21
"daiki
TL",23,1.00,0.43,0.04,23
"Mel
MIBR",39,0.90,0.18,0.05,19
"smiley
VLYN",92,0.78,0.58,0.03,19
"Dark3st
SAD",43,0.84,0.28,0.19,18
"Kiuuuu
LGD",62,0.89,0.27,0.05,21
"mads
MDK",38,0.89,0.29,0.16,19
"Miyori
GX.GC",79,0.91,0.18,0.20,20
"DubsteP
OAS",19,0.95,0.16,0.05,18
ivy,17,0.82,0.12,0.29,14
"MaKo
DRX",21,0.57,0.43,0.10,12
"str1keR
TU",144,0.92,0.18,0.13,24
"TenZ
SEN",133,0.89,0.39,0.11,30
"Minny
GN",17,1.00,0.29,0.24,17
"cortezia
RED",40,0.73,0.30,0.10,17
"Obnoks
MOUZ",15,1.00,0.20,0.07,15
"Sinaway
AIC",22,0.82,0.14,0.14,18
"Sandra
GK",104,0.75,0.37,0.09,16
"A1MBOT
Avai",20,0.95,0.25,0.20,19
amelist,23,0.74,0.78,0.04,17
"keznit
KRÜ",21,0.95,0.24,0.14,20
"Turko
FF",23,0.91,0.26,0.13,21
"eva
FLCV",86,0.81,0.34,0.05,28
"Vims
Wook",15,1.00,0.07,0.00,15
"BiggieCheese
AIC",22,0.82,0.18,0.05,18
"Pain
IluZ",36,0.78,0.33,0.06,17
"Daveeski
PMT",36,0.86,0.39,0.17,20
mogging,41,1.15,0.05,0.17,32
"vanity
C9",20,0.65,0.50,0.05,13
"Pitou
Exal",23,1.00,0.22,0.13,23
"K1LLERS
FPT",17,0.88,0.24,0.24,15
"Kush
GRD",85,0.91,0.19,0.20,24
"Shondex
Fish",23,0.96,0.22,0.09,22
Jade,56,0.93,0.63,0.13,20
"gaabxx
RED",40,0.78,0.30,0.13,19
"lazylion
DSG",86,0.86,0.41,0.05,22
"RieNs
TH",155,0.83,0.36,0.07,24
"Anima
HOWL",45,0.78,0.40,0.09,20
"micaela
KRÜ.B",109,0.82,0.35,0.19,19
"Vitie
Uzhi",57,0.86,0.49,0.09,18
"Fragger
SAW",40,0.70,0.65,0.10,17
Bugsy,28,0.82,0.46,0.07,23
"LOB
VL",21,0.86,0.14,0.10,18
"Toki
FLCV",104,0.82,0.22,0.22,21
"viness
FPT",17,0.76,0.94,0.06,13
"beyAz
M8",42,0.93,0.60,0.10,25
"jduh
O1O",19,0.95,0.47,0.16,18
"JaebiN
SLT",92,0.98,0.17,0.23,26
"Askia
HERO",99,0.76,0.42,0.04,22
"TakaS
M8",42,1.00,0.40,0.19,24
"Buld
GN",17,0.82,0.53,0.00,14
"KILLDREAM
ELV",34,0.91,0.18,0.18,16
"bipo
NOVO",34,0.94,0.24,0.21,18
"LiNLiN
AKV.GC",16,0.75,0.88,0.00,12
"Pa1nt
FCN",24,1.08,0.13,0.25,26
"Okeanos
BC",67,0.99,0.18,0.27,27
"6ix
Sila",24,0.75,0.13,0.04,18
"Shinyy
PMT",20,1.00,0.15,0.05,20
"kadiri
ARC",20,0.95,0.25,0.20,19
"PowerPixele
PP",69,0.78,0.67,0.04,21
"ACHRF
OXR",128,0.76,0.55,0.06,24
"eyan
LR",21,1.05,0.19,0.19,22
"nTK
BAAM",24,0.71,0.38,0.08,17
"King
DRGN",65,0.80,0.37,0.08,26
"L4CE
FLY.R",74,0.78,0.34,0.04,27
