Player,RND,KPR,APR,FKPR,KMAX
"dodonut
FLY.R",104,0.93,0.16,0.22,25
"dip
VZ",104,0.92,0.41,0.04,27
"Annie
O1O",58,0.98,0.19,0.28,20
"kaajak
APK",31,1.03,0.10,0.32,16
"aspas
LEV",34,1.03,0.24,0.15,35
"K1LLERS
FPT",17,0.71,0.47,0.00,12
"ZENZKI
BFG",20,1.10,0.35,0.25,22
"Ruxic
FF",41,0.88,0.24,0.07,23
"devilasxa
GMX.L",55,0.71,0.71,0.16,14
"austifrosti
TAMU",30,1.10,0.20,0.33,33
"Sushiboys
FS",46,0.85,0.22,0.09,23
"Reverie
KZ",22,0.91,0.23,0.05,20
kikowo,17,0.59,1.12,0.06,10
"murizzz
RETA",21,0.86,0.29,0.05,18
"PinOcchiOs
SPE",22,0.91,0.64,0.23,20
"mandu
KZ.T",19,1.11,0.16,0.42,21
"archiw0w
ONLI",23,0.83,0.48,0.13,19
"romily
KRÜ.B",16,0.81,0.00,0.00,13
"YaBoiLewis
FKS",23,0.74,0.96,0.00,17
Globe,21,0.90,0.62,0.05,19
"sibeastw0w
NASR",68,0.96,0.28,0.19,23
"nAvarro
BM",74,0.84,0.35,0.15,25
"stunna
VZ",20,1.00,0.15,0.15,20
"spike
2G",36,0.64,0.72,0.03,12
"ANGE1
NAVI",39,0.82,0.46,0.05,17
"wedid
TTR",36,0.81,0.50,0.11,18
kodeth,23,1.09,0.13,0.30,25
"Dragon
JJH",91,0.78,0.58,0.15,22
"Liz
6K.Fem",22,1.05,0.14,0.14,23
"Derrek
EG",20,0.75,0.50,0.05,15
"Ktori
NOMA",24,1.04,0.17,0.17,25
"kaho
SFU.P",52,0.79,0.50,0.12,15
"Reduxx
OXG",36,1.14,0.11,0.25,27
"seven
TSM",22,0.73,0.91,0.09,16
"chase
OLP",66,0.98,0.21,0.11,23
"alexis
SR",39,0.85,0.33,0.13,18
"Scarlett
GMX.L",101,1.02,0.13,0.27,28
"delas
ONS",24,1.04,0.13,0.21,25
"NGen
DK",26,0.73,0.50,0.19,19
Erase,19,0.95,0.37,0.11,18
"florescent
SR",39,0.97,0.21,0.08,20
"phi
xyz",103,0.82,0.48,0.07,21
"MAGiK
JL",86,0.81,0.35,0.07,22
"SUYGETSU
NAVI",39,0.77,0.33,0.05,19
"DVDOV
3E",45,0.98,0.16,0.07,29
"Shyy
KRÜ",21,0.95,0.29,0.05,20
"IKANA
GZL",51,0.80,0.24,0.04,18
"cortezia
RED",116,0.79,0.51,0.05,22
"dzii
LESS",21,1.14,0.33,0.10,24
"Ragnarok
Exal",20,0.75,0.45,0.10,15
"meL
SR",39,0.90,0.51,0.10,19
"brk
SAW",70,0.90,0.21,0.23,22
"Brinks
WTR",55,0.69,0.53,0.13,15
Zhannn,22,0.86,0.59,0.05,19
Neu,24,0.96,0.25,0.04,23
devy,20,0.95,0.15,0.20,19
