Player,RND,KPR,APR,FKPR,KMAX
"Kohaibi
SMG.GC",38,0.89,0.42,0.08,20
"Ruxic
FF",91,0.86,0.40,0.10,24
"Mazino
LEV",58,0.83,0.41,0.09,25
"Toskri
GRID",24,1.04,0.33,0.13,25
"August
HOG",15,0.87,0.27,0.07,13
"JrayN
FB",22,0.82,0.32,0.14,18
"soulcas
APK",62,0.94,0.31,0.10,20
"Vania
G2.G",20,0.85,0.55,0.10,17
"Bunny
F4Q",60,1.00,0.27,0.27,25
"toxik
MSU",28,0.96,0.46,0.07,27
pashalime,80,0.94,0.38,0.05,22
"Lmemore
RRQ",36,0.97,0.19,0.14,23
DizzyFps,35,0.97,0.20,0.11,24
"florescent
SR",80,0.96,0.28,0.14,27
"ALEKSANDAR
MU",41,1.07,0.15,0.07,26
"Joliinaa
GX.GC",82,0.87,0.40,0.11,22
Slammed,28,1.07,0.11,0.43,30
"jvhz
XS",19,0.84,0.42,0.32,16
"cNed
FUT",49,0.88,0.24,0.22,25
kylo,39,1.08,0.05,0.13,23
"pumpkincat
Arch",26,0.92,0.46,0.04,24
"sickrey
R8",39,0.67,0.51,0.00,16
"Mojer
NAOS",33,0.79,0.39,0.09,14
"Dragon
JJH",44,0.82,0.41,0.00,21
"alyaL
FPT",21,0.95,0.38,0.00,20
"karie
SNG",48,0.85,0.21,0.15,21
"hoody
GX",60,0.88,0.32,0.20,30
"SugarZ3ro
ZETA",40,0.80,0.48,0.10,19
"pollo
OLP",67,0.93,0.28,0.10,24
"sScary
BLD",59,1.02,0.27,0.15,26
"Emman
NAOS",33,0.73,0.33,0.09,14
"Qrizma
CSUL",39,0.79,0.46,0.13,19
"Cal
GTZ",24,0.88,0.17,0.04,21
"cheK
UNT",67,0.82,0.40,0.03,25
"panday
YFP",23,0.78,0.26,0.04,18
"Ayumiii
RRQ.K",38,0.82,0.24,0.21,16
"f4ngeer
tras",20,0.75,0.25,0.20,15
"Aniemal
Wild",19,0.58,0.11,0.11,11
"dos9
RVNT",40,0.90,0.20,0.08,25
"PTC
FS",56,0.75,0.45,0.18,17
"PowerPixele
PP",60,0.93,0.33,0.10,19
"DEATHMAKER
TRS",36,0.89,0.19,0.11,19
Yudi,26,0.81,0.15,0.08,21
"riku
NSIC",48,0.90,0.44,0.10,26
"Mabuchi
UG",180,0.89,0.20,0.14,28
AlMtRoOo3,50,0.82,0.56,0.04,23
"55EE
JDG",18,0.89,0.17,0.17,16
"penny
G2",45,0.91,0.24,0.09,22
"Vera
LZE",112,0.96,0.24,0.21,29
"Verno
OXG",45,0.76,0.16,0.09,18
"6sonya
O1O",46,0.89,0.24,0.13,24
"Huga
Even",55,0.91,0.58,0.16,21
"Tonbo
FL",20,0.85,0.45,0.05,17
"ubud
BFG",18,1.06,0.06,0.11,19
"foxz
FS",56,0.73,0.32,0.09,18
"Morphiw0w
OP",13,0.77,0.31,0.00,10
"oli
RN",71,0.99,0.10,0.08,34
"BananaMan
0Zer",39,0.92,0.13,0.13,20
"conir
KRÜ.B",64,0.89,0.39,0.08,24
"Drog
APE",22,0.95,0.27,0.18,21
"Xross
NS",79,0.86,0.25,0.15,28
"freeing
DK",67,0.87,0.21,0.07,21
"Daveeski
PMT",23,0.83,0.30,0.09,19
"delz1k
RETA",21,0.95,0.14,0.14,20
Nasty,18,0.94,0.00,0.33,17
"Shondex
Fish",24,0.83,0.38,0.13,20
"RedLight
SLT",54,0.89,0.39,0.06,25
"Nozz
BOBO",106,0.85,0.39,0.09,26
"xann
SNG",48,0.96,0.25,0.21,26
"Tempz
NG",47,0.77,0.49,0.06,20
"JonahP
G2",38,0.71,0.24,0.05,16
anotherrr,24,0.96,0.08,0.13,23
R4M,47,0.85,0.36,0.06,21
"Karen
NTH",23,1.00,0.22,0.17,23
"dth
KAMI",39,0.95,0.10,0.15,22
"Shiro
BME",91,0.76,0.52,0.09,23
"Zauqk
BOBO",106,0.86,0.25,0.09,24
"payne
ASTA",19,0.79,0.26,0.00,15
"romia
FL.GC",47,0.70,0.23,0.06,20
"PROFEK
GN",97,0.93,0.31,0.07,33
"Myth
FOC",96,0.73,0.31,0.13,26
"khz
XS",19,0.58,0.47,0.00,11
"Excali
MDL",66,0.92,0.20,0.15,22
Saitama,26,0.85,0.27,0.12,22
"zenox
DTL",44,1.00,0.23,0.16,24
"YESicaN
FCY",21,0.86,0.24,0.05,18
"Dep
ZETA",40,0.93,0.28,0.18,23
"yuran
ZETA",40,0.88,0.38,0.13,19
"BánhMj
RLF",18,0.94,0.17,0.00,17
"smiley
VLYN",99,0.84,0.43,0.03,20
"Laz
ZETA",40,0.75,0.15,0.20,18
"Crazy NY
XS",19,0.95,0.16,0.16,18
"dods
KRÜ.B",64,0.83,0.33,0.14,21
"gaabxx
RED",48,0.71,0.44,0.13,17
"lexa
TWIS.O",122,0.78,0.12,0.08,24
"Kyu
Grif",76,0.82,0.29,0.13,18
"stew
SFU.P",59,0.81,0.27,0.12,21
"Cloud
GX",60,0.80,0.25,0.10,26
"wayne
DSG",128,0.93,0.17,0.15,27
"evv
YFP",23,0.74,0.35,0.04,17
"GrTw
ELV",41,0.88,0.12,0.07,22
"Lime
CASE",18,0.94,0.22,0.33,17
"Pa1ze
DIA",94,0.90,0.17,0.21,23
"Nelo
KC.GC",84,0.90,0.19,0.14,23
"MrFaliN
FUT",49,0.69,0.39,0.10,25
"Natasha
CARA",42,0.98,0.14,0.14,31
"Ivy
AKV.GC",76,0.88,0.24,0.18,26
"NXBLE
TAMU",20,0.70,0.60,0.10,14
"jeffie
HU",41,0.85,0.20,0.17,21
Kawaii,24,0.88,0.63,0.08,21
"alannn
NOVO",58,0.91,0.09,0.12,41
"zekken
SEN",161,0.91,0.21,0.22,32
"RiceballiNNN
Red",19,0.68,0.37,0.16,13
"Moh
FLC",112,0.99,0.10,0.17,30
"peace
TWIS.O",122,0.80,0.41,0.11,24
"none
9z.GC",68,0.96,0.19,0.21,28
"Rebo
ROSE",46,0.96,0.30,0.20,22
"LiNLiN
AKV.GC",76,0.84,0.49,0.04,28
"mmonch
AKV.GC",76,0.74,0.41,0.12,21
"iZu
T1",86,0.78,0.36,0.08,23
"Hermes
DK",67,0.78,0.54,0.04,20
"v1nny
RED",48,0.79,0.46,0.02,20
"LizA
VLNT",59,0.85,0.10,0.15,20
"Chronicle
FNC",100,0.81,0.44,0.16,21
"MerSa
GS",20,0.65,0.60,0.05,13
lg1c,80,0.88,0.11,0.15,24
zekei,24,0.71,0.29,0.04,17
"Zanatsu
RED",48,0.90,0.19,0.23,27
"kamyk
JL",86,0.85,0.24,0.13,29
"Palla
puGG",131,0.92,0.18,0.16,25
"luckeRRR
SGE",42,0.83,0.24,0.12,27
"Luj
FLCV",98,0.76,0.30,0.04,21
"rise
WPT",48,0.69,0.33,0.08,18
"kiNgg
LEV",58,0.78,0.21,0.12,28
"BiggieCheese
AIC",44,0.82,0.34,0.09,19
"kaajak
APK",62,1.00,0.13,0.24,26
"ceeJay
Fish",24,0.83,0.29,0.13,20
"exile
ASTA",19,0.79,0.21,0.21,15
"LeVi
MLT",20,0.80,0.50,0.15,16
"pryze
2G",74,0.74,0.34,0.03,21
"corey
TTR",124,0.81,0.39,0.27,21
"Jemkin
RRQ",36,0.83,0.14,0.19,16
"BerserX
BME",91,0.79,0.20,0.09,22
"viness
FPT",21,0.86,0.38,0.05,18
"coconut
OF",114,0.84,0.08,0.10,28
vit9ine,18,0.83,0.28,0.11,15
"Luid
SPRT",18,0.83,0.22,0.11,15
"saun
OGS",41,0.80,0.32,0.12,20
"alexiiik
GN",97,0.93,0.15,0.27,29
"babykiwii
Hype",30,0.87,0.10,0.13,26
"qRaxs
FUT",49,0.73,0.45,0.04,19
"chukL9
APE",22,0.68,0.41,0.09,15
"Jelly
MIBR",70,0.87,0.30,0.11,20
Gwangboong,77,0.88,0.27,0.23,31
"NcSlasher
BME",91,0.77,0.46,0.09,25
"Zyppan
NAVI",40,0.85,0.18,0.13,18
