Player,RND,KPR,APR,FKPR,KMAX
"Vania
G2.G",81,0.81,0.23,0.15,20
"grumble
LZE",82,0.80,0.35,0.09,19
"Mikelelle
EYG",20,0.90,0.60,0.10,18
"musashi
ACE",41,0.83,0.46,0.02,18
"Liz
6K.Fem",22,0.82,0.14,0.27,18
"SecondLove
APH",40,0.78,0.25,0.05,16
"sayoo
GRY",24,0.83,0.21,0.08,20
"Matt
Burg",19,0.79,0.42,0.00,15
"Demiurge
MZP",23,0.96,0.17,0.22,22
"klaudia
O1O",24,0.92,0.75,0.17,22
"wayne
DSG",80,0.80,0.19,0.09,17
"devilasxa
GMX.L",34,0.88,0.38,0.09,30
"Marved
NRG",60,0.78,0.27,0.10,21
"murizzz
RETA",22,0.82,0.18,0.14,18
"Russ
GE",26,0.81,0.46,0.04,21
"fluxxy
O1O",24,0.83,0.21,0.08,20
"Fizzy
MOUZ",26,0.85,0.35,0.12,22
"Near
UNT",59,0.80,0.22,0.14,18
"sayuri
MIBR",38,0.61,0.47,0.00,15
"Touven
GGO",47,0.89,0.26,0.06,26
"Insider
KPI",19,0.89,0.37,0.16,17
"LETHAL
WHO",38,0.84,0.53,0.05,32
"Hitch
ESC",23,0.78,0.52,0.00,18
"POISED
TSM",64,0.83,0.36,0.09,21
"ponix
9z.GC",59,0.85,0.20,0.07,20
"delz1k
RETA",22,0.77,0.23,0.00,17
"prince
TBK",109,0.82,0.35,0.09,23
"Myth
FOC",23,0.70,0.39,0.04,16
"Feniz
EXL",22,0.73,0.14,0.09,16
"dzii
LESS",82,0.79,0.32,0.06,21
"gatorada
SG",28,0.89,0.39,0.11,25
"FETA
AIC",23,0.78,0.17,0.09,18
"Lightningfast
GE",26,0.85,0.42,0.08,22
"Pie
Colo",95,0.69,0.47,0.03,24
"tokyo
ROSE",21,0.95,0.19,0.29,20
"neth
DFM",22,0.86,0.36,0.05,19
"cgrs
MITH",30,0.93,0.30,0.10,28
"JayH
DSG",80,0.85,0.35,0.06,20
"Dogo
SaD",23,0.83,0.26,0.04,19
"Boni
Burg",41,0.90,0.32,0.20,19
"qq
NKT",48,0.85,0.06,0.31,21
weber,30,0.83,0.17,0.23,25
"Miku
FSX",52,1.08,0.10,0.25,31
"glo
SFU.P",38,0.95,0.05,0.11,20
nicky,59,0.78,0.34,0.05,23
"maestr0
XLD",68,0.97,0.18,0.09,24
"Hanuh
THE.K",16,1.06,0.13,0.19,17
"Demon1
NRG",60,0.80,0.22,0.25,21
"Zneva
NOM",16,1.00,0.25,0.19,16
"socools0da
THA",48,0.75,0.23,0.02,26
"Notexxd
Six",22,0.86,0.59,0.09,19
"tconda
UC.Fem",24,0.96,0.21,0.25,23
"Edw4rd
0Zer",33,0.79,0.12,0.06,14
"DisisJohn
FKS",26,0.92,0.08,0.23,24
"Munchkin
GEN",77,0.78,0.19,0.06,19
"Evilkyk
GLRS",40,0.73,0.23,0.08,19
"Dantedeu5
AK",40,0.98,0.05,0.23,23
"Bgg
R8",65,0.72,0.32,0.08,17
Wangle,21,1.05,0.14,0.00,22
"kiNgg
LEV",19,0.58,0.79,0.05,11
"SpYzera
FLC",116,0.70,0.60,0.07,26
"Br1ckzl
VIS",70,0.84,0.19,0.09,27
"alvin
Burg",19,0.84,0.26,0.11,16
"Meiy
DFM",22,0.91,0.14,0.27,20
"Klaus
KRÜ",20,0.65,0.25,0.20,13
"dgzin
HERO",71,1.01,0.10,0.24,27
"Mikael
ARF",53,0.77,0.30,0.11,23
Lysoar,93,0.60,0.23,0.04,20
bsmooth,30,0.87,0.13,0.13,26
"maripo
RIG.L",17,0.76,0.12,0.06,13
"Nabber
TAMU",24,0.83,0.08,0.04,20
"IKANA
GZL",20,0.85,0.15,0.00,17
"Hals
RC",60,0.65,0.15,0.03,22
"damaraa
THE",37,0.89,0.22,0.16,19
"waddle
DSY",53,0.62,0.26,0.08,12
"MerSa
GS",47,0.53,0.81,0.04,13
Gwangboong,28,0.96,0.21,0.18,27
"Jow
EXL",22,0.91,0.14,0.27,20
"caydeN
DSY",53,0.68,0.38,0.06,13
"oonzmlp
MARU",39,0.87,0.21,0.15,18
"NakJi
LFG",16,0.63,0.63,0.06,10
"mizu
9z",60,0.83,0.17,0.15,20
"STYRON
SGP",85,0.88,0.19,0.09,27
"YamzzI
FL.GC",17,0.47,0.71,0.06,8
"Faska
EQZ",22,0.86,0.05,0.09,19
"IDG
ONS",20,0.95,0.20,0.05,19
"Hate
LFG",16,0.69,0.56,0.00,11
"MaKo
DRX",22,0.82,0.55,0.09,18
"DEATHMAKER
TRS",24,1.00,0.17,0.42,24
kenhlong,22,0.77,0.14,0.05,17
"JoJo
FA",30,0.80,0.20,0.10,24
"srN
MIBR",38,1.00,0.21,0.37,24
"appA
KOPF",65,0.91,0.11,0.31,23
"Samphire
MLT.GC",30,0.83,0.10,0.07,25
"ALIVE
ACE",41,0.88,0.17,0.12,19
"bzt
CG",108,0.70,0.21,0.08,19
Truman,22,0.82,0.18,0.05,18
"NGen
DK",68,0.81,0.25,0.10,20
"parscofield
Mine",40,0.98,0.18,0.13,20
"none
9z.GC",59,0.85,0.24,0.19,20
"jduh
O1O",24,0.67,0.25,0.04,16
"acrian
VLYN",23,0.96,0.26,0.17,22
Junju,17,1.00,0.06,0.24,17
"Ethan
NRG",60,0.70,0.27,0.08,19
"SoOn
MDR",20,0.75,0.15,0.10,15
"austifrosti
TAMU",24,0.75,0.33,0.17,18
"Noia
SR",67,0.84,0.10,0.16,26
"Tuli
9z",60,0.80,0.15,0.17,20
"seven
TSM",64,0.77,0.41,0.09,21
"cashmere
THE",37,0.76,0.35,0.11,14
CRIME,18,0.89,0.06,0.22,16
"richzin
LGCY",60,0.75,0.20,0.05,16
"RetrQ
Burg",41,0.76,0.24,0.15,18
"KHaaLiD
FLC",116,0.77,0.28,0.10,22
"zeddy
KPI",19,0.58,0.53,0.00,11
"Tenshi
IGW",22,0.86,0.09,0.23,19
"Goaster
MDR",20,0.85,0.00,0.15,17
"Venka
GRY",24,0.88,0.08,0.21,21
"emluo
FLY.R",40,0.85,0.28,0.08,18
"Ivy
AKV.GC",28,0.79,0.64,0.14,22
"eleo
OVA",23,0.87,0.13,0.04,20
"crashies
NRG",60,0.73,0.23,0.05,18
"vizsla
FOC",23,0.74,0.13,0.09,17
"xffero
RRQ",23,0.74,0.13,0.13,17
rice,45,0.71,0.29,0.22,21
"Speedy
CARA",50,0.76,0.24,0.12,23
"Sevkaan
Irre",28,0.86,0.25,0.18,24
"OuTLaW
SA",116,0.72,0.31,0.10,28
"Annie
O1O",24,0.79,0.21,0.17,19
"Laz
NKT",48,0.69,0.40,0.15,20
"Sandra
GK",38,0.79,0.13,0.11,20
Freyaaa,23,0.78,0.43,0.13,18
"biazik
KRÜ.B",22,0.82,0.23,0.05,18
"Snowi
OF",19,0.84,0.26,0.00,16
"ganter
NOTT",20,0.95,0.10,0.10,19
"Moh
FLC",116,0.73,0.14,0.07,22
"Anthem
DFM",22,0.91,0.27,0.00,20
"pryxi
NXT",65,0.86,0.18,0.09,27
"globeX
CHCH",108,0.80,0.19,0.12,28
"MrFaliN
FUT",20,0.60,0.30,0.15,12
"kaajak
APK",19,0.79,0.21,0.21,15
"Meganee
CG.GC",30,0.83,0.10,0.13,25
"FuriouzMeow
lave",22,0.68,0.36,0.05,15
"Karon
GEN",77,0.71,0.39,0.06,17
"empty
ONS",20,0.85,0.10,0.10,17
"pr0xy
MARU",39,0.59,0.31,0.03,12
"jcrueL
NBG",23,0.78,0.13,0.04,18
"Killua
MITH",30,0.87,0.13,0.13,26
"nati
LEV.GC",17,0.94,0.06,0.18,16
"clear
BOB",42,0.90,0.10,0.29,22
"cbui
SNG",22,0.82,0.36,0.00,18
"kv7m
UNta",24,0.63,0.50,0.08,15
"swarm
CU.V",45,0.82,0.09,0.22,22
"roompa
VLYN",23,0.65,0.22,0.04,15
"kpro
Igni",22,0.50,0.14,0.05,11
"lexa
TWIS.O",24,0.67,0.38,0.08,16
"woody
ARF",18,0.89,0.28,0.11,16
"miwa
SNX.F",24,0.75,0.54,0.04,18
Hibui,20,0.80,0.20,0.00,16
"Glance
KC.GC",108,0.78,0.31,0.08,36
"sh1n
KC",37,0.59,0.43,0.00,15
"SemberN
AW3",23,0.96,0.26,0.04,22
vvv,17,0.94,0.12,0.24,16
"N4RRATE
KC",37,0.78,0.41,0.08,17
"BRIAN
RC",60,0.73,0.27,0.20,28
