Player,RND,KPR,APR,FKPR,KMAX
"Lateu
fuVi",73,0.74,0.32,0.12,17
"Cud
AE",62,0.81,0.18,0.05,20
"Kakarot
ZOL",50,0.94,0.16,0.04,24
"iluri
MOUZ",42,0.83,0.21,0.14,21
"socools0da
THA",26,0.77,0.50,0.08,20
"zerona
ZMM.B",103,1.01,0.26,0.16,32
"VenTT
HOWL",24,0.79,0.25,0.13,19
"pr0xy
MARU",23,1.00,0.52,0.22,23
"Kush
GRD",62,0.79,0.52,0.08,18
Block,18,0.78,0.22,0.17,14
"Deadly10
MDL",38,0.87,0.05,0.16,17
"Foxy9
DRX",38,0.74,0.37,0.05,16
"popoman4Q
FA",24,0.71,0.67,0.00,17
Misaya,42,0.83,0.52,0.07,18
"invy
TS",19,0.89,0.32,0.16,17
"Ronin
New",26,1.12,0.23,0.12,29
"sScary
BLD",20,0.80,0.35,0.10,16
"TajReX
LDS",63,0.95,0.33,0.13,24
"Anima
HOWL",24,0.79,0.38,0.04,19
"Cohburg
SAD",39,0.82,0.15,0.13,18
"Ixela
HOWL.M",17,0.65,0.29,0.06,11
"dRKY
IW",24,0.67,0.42,0.00,16
"LiNLiN
AKV.GC",59,0.81,0.39,0.08,23
Naxa,24,1.25,0.13,0.33,30
"dip
VZ",42,0.86,0.21,0.10,20
"Yotaa
AKR",26,0.96,0.23,0.12,25
"stax
DRX",38,0.76,0.26,0.18,15
"PowerPixele
PP",36,0.83,0.56,0.06,19
"david
9z",78,0.71,0.42,0.08,18
"gatorada
SG",42,0.86,0.40,0.10,21
"RYRY
ARC",26,0.96,0.19,0.19,25
"xuss
MOUZ",42,0.86,0.17,0.21,21
"Saikiwi
UW.GC",41,0.88,0.29,0.10,19
"FETA
AIC",87,0.82,0.18,0.24,22
"MaiShiu
FOC",118,0.77,0.35,0.09,23
"qRaxs
FUT",38,0.89,0.11,0.08,21
"v1nny
RED",20,1.05,0.20,0.10,21
"bstrdd
TL",22,1.00,0.09,0.23,22
"kiss
Dead",89,1.00,0.18,0.24,25
"Morita
ZEN.GC",39,0.87,0.23,0.26,18
"yetujey
FUT",38,0.82,0.16,0.08,20
"Jemkin
RRQ",19,1.11,0.05,0.16,21
"Nabber
TAMU",15,0.93,0.33,0.20,14
"Ziad
INST",48,0.85,0.19,0.33,21
"xenia
HOWL.M",17,0.71,0.41,0.12,12
"Izzy
SUP",54,1.00,0.26,0.26,35
"7ssk7
NASR",125,0.78,0.48,0.05,24
"sogo
TACO",36,0.83,0.14,0.22,18
lg1c,23,0.91,0.13,0.17,21
K1LANI,19,0.84,0.37,0.26,16
"Siduzord
STE",70,0.77,0.30,0.09,15
"Hiiro
GTZ",26,0.85,0.12,0.27,22
Pinky D,16,0.88,0.31,0.06,14
"al0rante
FKS",62,0.81,0.37,0.10,19
"JA
NAOS",108,0.89,0.22,0.20,25
"SpYzera
FLC",168,0.82,0.30,0.10,24
"kv7m
UNta",73,0.68,0.60,0.04,14
"Wizdran
CSUF",20,0.80,0.25,0.15,16
"smiley
VLYN",61,0.79,0.66,0.10,19
"Creamydreamy
SNS",65,0.77,0.45,0.11,18
YanLi,44,0.73,0.36,0.16,19
"Toki
FLCV",108,0.91,0.20,0.25,24
"Pkm
NS",70,0.99,0.27,0.21,26
"Krizz
Z10",23,1.00,0.13,0.26,23
"Verno
OXG",71,0.79,0.18,0.13,21
"Kibojn
MDL",38,0.84,0.32,0.03,20
"Blessed
FOC",118,0.83,0.37,0.10,28
"qrthur
Skyl",24,0.83,0.21,0.17,20
"JULIA
SNG",18,1.06,0.39,0.00,19
"fausTao
ARF",40,0.98,0.18,0.25,27
"Leviathan
FS",43,0.77,0.37,0.19,20
"askoo
Colo",24,1.04,0.42,0.04,25
"none
9z.GC",19,1.21,0.16,0.26,23
"heat
KRÜ",21,0.81,0.29,0.05,17
"LeoZ
N5R",71,0.72,0.28,0.11,20
"johnqt
SEN",190,0.75,0.25,0.09,19
"Jiex
KPI.S",19,1.11,0.21,0.42,21
"gotten
AE",62,0.77,0.32,0.13,25
"NakJi
LFG",109,0.83,0.50,0.04,21
"BcJ
M80",19,0.74,0.26,0.11,14
"vorcez
Akro",22,0.95,0.36,0.09,21
Arcues,22,0.95,0.18,0.18,21
"Ivy
AKV.GC",59,0.76,0.53,0.14,21
"Mykoz
FB",68,0.96,0.37,0.09,25
"Miku
FSX",24,0.88,0.46,0.17,21
"Dragon
JJH",21,0.76,0.38,0.05,16
"BENECIA
SLT",100,0.82,0.38,0.05,29
"toxik
MSU",21,0.86,0.33,0.10,18
"cortezia
RED",20,0.70,0.35,0.00,14
"dokja
Team",44,1.09,0.09,0.11,31
"Asuna
100T",40,0.93,0.20,0.23,21
"wayne
DSG",20,0.90,0.30,0.25,18
"marteen
KC",98,0.85,0.24,0.21,23
"Anoxai
tras",42,0.79,0.19,0.19,22
"tril
UW.G",23,0.87,0.39,0.04,20
"yuran
ZETA",21,0.67,0.24,0.00,14
