Player,RND,KPR,APR,FKPR,KMAX
wilted,19,1.11,0.63,0.32,21
"JKronic
WVU",55,0.82,0.33,0.09,20
Cutch,23,0.96,0.22,0.17,22
chip,16,0.94,0.56,0.13,15
"Kipperman
IW",21,1.14,0.10,0.24,24
"aNguiSt
CGN",37,1.16,0.11,0.14,25
plant,20,0.95,0.60,0.10,19
"izze
SAVA",58,0.93,0.34,0.10,20
"Dinxx
WVU",55,1.15,0.13,0.18,24
"Sevire
SLY",32,1.09,0.34,0.22,22
"Chloettw
4Fun",70,0.96,0.30,0.09,21
Fighter,41,1.10,0.46,0.10,24
"Veqaj
VX3",120,1.10,0.21,0.27,27
"Pa1ze
DIA",56,1.07,0.27,0.39,21
"NezhaaPotz
HTN",113,0.85,0.57,0.13,26
kve,59,0.92,0.32,0.17,20
"MOLSI
APK",31,0.68,0.58,0.06,13
jdk,44,1.16,0.18,0.27,28
PHO,20,1.25,0.30,0.00,25
Oyfum,39,0.87,0.67,0.05,21
"JohnOlsen
FS",114,1.01,0.28,0.22,21
"stew
SFU.P",72,0.88,0.58,0.01,20
"LauGuz
OWO",56,1.11,0.11,0.30,21
"Mercure
ZER",39,0.92,0.62,0.21,20
"Chloe
FIRE",80,0.83,0.73,0.11,25
tisba,23,1.09,0.52,0.13,25
"Jia
FSX",80,0.79,0.59,0.09,17
"Vania
G2.G",58,0.86,0.38,0.17,20
BabyHao,48,0.88,0.77,0.13,20
"nzr
FUR",15,0.93,0.47,0.00,14
"HILTON
T1A",39,1.10,0.15,0.10,31
Khosoko,43,1.21,0.16,0.21,32
"Worship
APH",18,0.89,0.50,0.00,16
"jEEE
MDL",41,0.85,0.68,0.05,18
"kiss
Dead",177,1.09,0.20,0.32,31
"Morphiw0w
OP",18,0.78,0.67,0.00,14
benas,16,0.94,0.06,0.13,15
"Katashio
CVU.NBG",96,0.89,0.38,0.15,26
"elfie
MKS",42,1.02,0.33,0.24,22
"grumble
LZE",21,1.05,0.24,0.14,22
r a f,81,1.02,0.41,0.14,27
"Hydro
spec",16,0.94,0.19,0.19,15
"Sacake
VLNT",42,0.88,0.33,0.14,25
madness,34,0.88,0.32,0.06,16
"ph1vu
DOMS",22,1.05,0.36,0.18,23
"Dragon
JJH",107,0.84,0.54,0.13,22
"lunah
ARI",30,0.93,0.47,0.13,17
"Cade3k
TS",98,1.06,0.19,0.17,29
"jannyXD
RBT",24,1.00,0.00,0.33,24
aco,43,0.91,0.51,0.02,24
kikowo,74,0.86,0.61,0.09,25
"maripo
RIG.L",19,0.95,0.26,0.05,18
"STYLESY
TACO",19,0.84,0.42,0.05,16
"richzin
LGCY",62,0.69,0.48,0.00,16
"EJAY
VAL",62,1.06,0.27,0.19,31
"Paincakes
TWT",38,0.92,0.39,0.18,21
"Australis
FT S",106,0.80,0.74,0.12,17
"JonahP
G2",24,0.83,0.79,0.00,20
"PxS
COW",135,0.97,0.21,0.19,28
"sogo
TACO",61,0.97,0.26,0.16,24
Ghosty,44,1.00,0.05,0.18,29
"Exequies
FA",21,0.90,0.43,0.05,19
"kaho
SFU.P",72,0.90,0.44,0.14,24
tom1x,21,1.24,0.10,0.29,26
"odessaca
Hype",39,0.82,0.54,0.10,22
"Elab0rate
Sols",146,0.99,0.27,0.13,25
"stars
EG",20,0.90,0.25,0.00,18
Temai,20,0.80,0.55,0.15,16
"Zneva
NOM",34,0.94,0.47,0.06,17
"Louboutin
VIC",40,0.95,0.30,0.10,19
pluffy,20,0.90,0.45,0.15,18
"Contair
GODS",17,0.94,0.41,0.12,16
Zodiac,19,0.95,0.47,0.11,18
"micaela
KRÜ.B",34,0.97,0.21,0.18,20
ChiaWei,156,0.93,0.36,0.07,32
"Jelly
MIBR",61,0.87,0.52,0.10,19
Corsaker,24,0.88,0.50,0.13,21
Gogs,68,0.90,0.41,0.04,23
"tixx
JJH",30,0.93,0.50,0.07,16
"flqrance
opti",20,1.20,0.05,0.10,24
golden,98,0.97,0.20,0.24,21
"Slandy
RF.GC",62,0.98,0.44,0.06,28
Mashiro,19,0.95,0.37,0.00,18
"starkk
NOVO",122,0.79,0.43,0.07,22
"isaa
TL",128,0.66,0.54,0.10,15
"Psyche
NA",61,0.74,0.67,0.07,16
nelu,24,0.88,0.46,0.04,21
ORCA,16,1.00,0.19,0.25,16
"eeiu
100T",19,0.63,0.26,0.00,12
