Player,RND,KPR,APR,FKPR,KMAX
"CyvOph
MDR",43,0.88,0.26,0.14,19
"Moh
FLC",142,0.87,0.37,0.18,23
"Jremy
TS",77,0.99,0.30,0.31,30
"dgzin
HERO",99,1.03,0.14,0.19,27
"benjyfishy
TH",155,0.89,0.22,0.10,28
"Bob
SAD",43,0.81,0.40,0.07,19
"Kinguyen
SLY",43,0.86,0.16,0.21,24
"Haru
Sols",18,1.06,0.11,0.17,19
"WanZeru
B8",23,1.09,0.09,0.39,25
"PatMen
ZOL",20,0.90,0.35,0.25,18
"Kyu
Grif",146,0.86,0.44,0.08,28
"Movi
PMT",16,0.88,0.44,0.00,14
"Demiurge
MZP",17,0.82,0.29,0.24,14
"AvovA
APK",110,0.75,0.37,0.08,21
"Toki
FLCV",185,0.88,0.24,0.25,21
"DEATHMAKER
TRS",22,0.91,0.32,0.05,20
"majusia
INC.GC",20,1.10,0.05,0.15,22
"micr0
ZOL",20,0.75,0.35,0.15,15
"SkaNoodles
OXR",43,0.79,0.51,0.00,20
"Sevire
SLY",43,0.81,0.37,0.09,19
Khosoko,37,1.11,0.24,0.19,25
"tess
MLT.GC",59,0.80,0.46,0.05,21
"Estrella
RRQ",21,0.90,0.38,0.05,19
"Dev0
NXT",47,0.98,0.15,0.09,28
"CLZ
FL",73,0.75,0.36,0.07,20
"Cunha20
SAW",40,0.85,0.50,0.05,22
"daiki
TL",23,1.00,0.43,0.04,23
"devilasxa
GMX.L",24,0.88,0.38,0.00,21
"Felix
SK",82,0.76,0.38,0.12,19
kajsiab,23,0.87,0.35,0.13,20
"shirazi
XIP",59,0.81,0.22,0.14,16
Casual Scrub,23,1.17,0.22,0.04,27
"Lele
VENI",24,0.83,0.42,0.04,20
"srN
MIBR",39,1.03,0.31,0.36,22
"Suka
RLF",77,0.90,0.52,0.13,20
"YoZeii
Lyos",17,0.76,0.18,0.06,13
"Kiuuuu
LGD",62,0.89,0.27,0.05,21
"c4Lypso
VLYN",171,0.92,0.42,0.16,28
"murii
SK",82,0.74,0.43,0.06,19
"magicss
ABS",48,0.96,0.29,0.10,28
"Xdll
FL",73,0.81,0.30,0.11,21
"DubsteP
OAS",19,0.95,0.16,0.05,18
"Dark3st
SAD",43,0.84,0.28,0.19,18
"Anima
HOWL",78,0.81,0.41,0.06,20
"Mel
MIBR",39,0.90,0.18,0.05,19
"TenZ
SEN",133,0.89,0.39,0.11,30
"cortezia
RED",40,0.73,0.30,0.10,17
"geeza
Grif",165,0.94,0.24,0.13,30
"Sinaway
AIC",22,0.82,0.14,0.14,18
"MaKo
DRX",21,0.57,0.43,0.10,12
ivy,17,0.82,0.12,0.29,14
"Minny
GN",17,1.00,0.29,0.24,17
"Nunmeister
B8",23,0.96,0.17,0.09,22
"JohnOlsen
FS",19,0.95,0.11,0.11,18
"MOLSI
APK",110,0.83,0.37,0.08,20
amelist,23,0.74,0.78,0.04,17
"ACHRF
OXR",167,0.80,0.53,0.05,24
"Surve
CG",22,0.73,0.36,0.00,16
"BiggieCheese
AIC",22,0.82,0.18,0.05,18
"Simulate
LAG",22,0.95,0.18,0.09,21
"Daveeski
PMT",36,0.86,0.39,0.17,20
"Enjoy
IU",24,0.92,0.29,0.17,22
mogging,41,1.15,0.05,0.17,32
"Turko
FF",23,0.91,0.26,0.13,21
"rood
GLRS",24,1.00,0.08,0.13,24
"blaZek1ng
GE",39,0.95,0.28,0.15,24
"Pr
SPE",23,0.83,0.39,0.00,19
"Brinks
WTR",186,0.78,0.46,0.05,22
"viness
FPT",37,0.78,0.62,0.08,16
"micaela
KRÜ.B",109,0.82,0.35,0.19,19
"RieNs
TH",155,0.83,0.36,0.07,24
"Kess
UT",28,1.00,0.29,0.25,28
"Pain
IluZ",59,0.76,0.27,0.03,17
"cNed
FUT",62,1.02,0.16,0.11,22
Jade,56,0.93,0.63,0.13,20
"Pitou
Exal",23,1.00,0.22,0.13,23
"gaabxx
RED",40,0.78,0.30,0.13,19
"lazylion
DSG",86,0.86,0.41,0.05,22
"Meddo
SK",82,0.74,0.24,0.02,18
"russ
S2G",45,0.82,0.29,0.24,21
"K1LLERS
FPT",37,1.00,0.22,0.30,22
"Kush
GRD",85,0.91,0.19,0.20,24
"moefcute
UBT",45,1.02,0.09,0.20,27
"Shondex
Fish",23,0.96,0.22,0.09,22
"SoOn
MDR",43,0.77,0.33,0.09,17
"aluvily
Sere",38,0.82,0.32,0.13,17
"Entri
Inst",46,0.91,0.09,0.15,23
Bugsy,28,0.82,0.46,0.07,23
"proxima
BBL.Q",83,0.73,0.42,0.06,20
"Fragger
SAW",40,0.70,0.65,0.10,17
"JaebiN
SLT",92,0.98,0.17,0.23,26
"Magnus
RV",24,0.88,0.21,0.38,21
"ip0TT
GAL",132,0.83,0.25,0.21,30
"Click
SK",82,1.09,0.15,0.38,33
"Karra
FLY.R",40,0.83,0.38,0.05,19
"Askia
HERO",99,0.76,0.42,0.04,22
NOBITA,52,0.77,0.25,0.04,18
"kadiri
ARC",20,0.95,0.25,0.20,19
"6ix
Sila",24,0.75,0.13,0.04,18
"PowerPixele
PP",69,0.78,0.67,0.04,21
"Buld
GN",17,0.82,0.53,0.00,14
"LiNLiN
AKV.GC",16,0.75,0.88,0.00,12
"KILLDREAM
ELV",34,0.91,0.18,0.18,16
"Cal
GTZ",19,0.89,0.16,0.05,17
"Shinyy
PMT",20,1.00,0.15,0.05,20
"snirot
NSIC",17,0.76,0.53,0.06,13
"Eden
Cybe",23,0.91,0.22,0.13,21
"Bizerra
TL",23,0.78,0.39,0.04,18
"eyan
LR",21,1.05,0.19,0.19,22
"Instxnct
Grif",165,0.81,0.20,0.19,20
"VTaguT
ELV",34,0.59,0.56,0.06,13
Venn,17,0.94,0.29,0.00,16
"keloqz
DVM",41,0.98,0.17,0.20,21
"EJAY
VAL",42,0.88,0.31,0.21,22
"King
DRGN",65,0.80,0.37,0.08,26
"lcdFFF
dupl",24,0.67,0.33,0.08,16
"Vitie
Uzhi",101,0.88,0.45,0.09,20
"starriebun
WPT",59,0.81,0.39,0.02,18
"riv
RF.GC",21,0.86,0.29,0.19,18
"LeVi
MLT",42,0.83,0.48,0.07,19
"Muffyn
FSS",52,0.96,0.31,0.27,32
"Srx
OXR",112,1.04,0.13,0.29,29
"Babytz
FSS",98,0.89,0.29,0.12,25
"jubs
MIBR",39,0.72,0.21,0.10,14
"Cantzer
EE",19,0.84,0.11,0.00,16
"bstrdd
TL",23,0.96,0.22,0.17,22
"FallX
GLAB",23,1.09,0.17,0.35,25
Mihlog,77,0.77,0.57,0.05,23
"Lil Bob
FKS.S",118,0.80,0.45,0.07,25
ridzex,23,1.00,0.13,0.09,23
sunfloweR,23,0.83,0.22,0.13,19
demek,47,0.89,0.21,0.19,23
"didii
MDK",38,0.68,0.61,0.08,14
"felix
DMG",15,0.93,0.27,0.20,14
"soren
Colo",46,0.85,0.22,0.22,21
"something
PRX",122,0.80,0.35,0.12,22
"Georggyyy
VAL",42,0.95,0.24,0.24,23
"Nabber
TAMU",21,0.86,0.52,0.10,18
"VYX
FCN",179,0.66,0.47,0.02,21
"PapaSmurf
VEXO",23,0.83,0.52,0.09,19
"leaf
G2",86,0.85,0.23,0.17,20
"Cebando
AK",57,0.72,0.39,0.04,17
"seezy
LAG",24,0.71,0.46,0.13,17
"Lakia
GEN",41,0.88,0.41,0.07,19
"evv
YFP",55,0.89,0.25,0.11,21
"BlanK
Roch",66,0.95,0.26,0.15,31
"Chax
BOBO",20,1.05,0.15,0.20,21
"Syuz
BT",23,0.74,0.57,0.17,17
"aLerT
XIA",74,0.81,0.14,0.11,23
"Sayf
VIT",165,0.85,0.27,0.12,22
"iDex
SLY",43,0.77,0.40,0.02,17
"Arkhram
MAD.SC",62,0.82,0.26,0.23,21
"Tmy
DRGN",65,0.68,0.29,0.06,16
"Jini
HEIZ",19,0.95,0.21,0.16,18
"Linus
DIV",19,0.79,0.42,0.11,15
"romily
KRÜ.B",109,0.76,0.26,0.04,18
"els
BOBE",34,0.65,0.44,0.09,12
"chloric
LV",187,0.68,0.44,0.09,21
"chanformer
NXT",47,0.66,0.49,0.06,19
"mikeE
BC",231,0.84,0.26,0.08,24
"mmonch
AKV.GC",16,0.50,0.44,0.06,8
"enerii
XIP",59,0.76,0.29,0.17,17
"N4RRATE
KC",145,0.84,0.28,0.06,25
"Kipperman
IW",17,1.12,0.12,0.18,19
"Mykoz
FB",26,0.73,0.54,0.04,19
"Goaster
MDR",24,0.83,0.29,0.21,20
"kiyux
SSP",22,0.86,0.18,0.00,19
"xavi8k
PHI",19,0.68,0.42,0.05,13
"siraphop
XIA",74,0.66,0.51,0.09,16
"GuterWoman
SKC.Q",23,0.96,0.17,0.00,22
"D4rf
XIA",74,0.76,0.42,0.08,19
Pinky D,23,0.83,0.30,0.26,19
"Annie
O1O",43,1.02,0.16,0.23,31
"Nexi
NAOS",41,0.88,0.29,0.10,21
nex1SphiX,19,0.63,0.37,0.05,12
"lurzy0y0
GAL",132,0.77,0.27,0.05,21
"str1keR
TU",186,0.86,0.18,0.12,24
"AsLanM4shadoW
S2G",45,0.78,0.29,0.04,18
"XXiF
QOR",98,0.71,0.33,0.09,20
"oli
RN",44,1.00,0.14,0.09,26
"Acerola
LAZY",66,0.70,0.27,0.06,23
"alkyia
BBL.Q",83,0.82,0.35,0.10,24
"Krizz
Z10",19,0.63,0.26,0.16,12
"falltw
ZETA",23,0.78,0.52,0.04,18
"zarak
 Swa",56,0.88,0.21,0.25,24
"n9sty
AIM",48,0.90,0.23,0.15,27
"NXBLE
TAMU",21,0.95,0.14,0.14,20
Rawi,20,0.85,0.35,0.10,17
"LizA
VLNT",119,0.94,0.15,0.13,28
brock,47,0.74,0.47,0.09,18
"xuss
MOUZ",33,0.82,0.00,0.27,16
"Alexy
XIP",59,0.75,0.37,0.15,18
"nihggo
VENI",68,0.87,0.34,0.06,23
"Mephisto
6K",22,0.86,0.23,0.18,19
"Bangnan
VL",42,0.79,0.17,0.19,18
"Dragon
JJH",19,0.74,0.26,0.05,14
"aimDLL
S2G",45,0.78,0.20,0.11,18
"SecondLove
APH",47,0.79,0.19,0.00,22
"StarBound
FLY.R",152,0.82,0.31,0.09,28
iNaz,22,0.82,0.09,0.14,18
matic,18,0.94,0.06,0.39,17
"VenTT
HOWL",78,0.83,0.36,0.10,21
"penny
G2",98,0.88,0.18,0.21,25
Swichblade,20,0.95,0.10,0.20,19
"GON
FL",73,0.66,0.44,0.01,17
"IKANA
GZL",71,0.76,0.38,0.08,21
"kiss
Dead",71,0.79,0.20,0.15,23
"Foxy9
DRX",21,1.10,0.10,0.14,23
"invy
TS",77,0.64,0.64,0.01,15
Cheddy,19,1.00,0.11,0.05,19
"MAGNUM
KC",145,0.70,0.43,0.09,18
"coconut
OF",62,0.92,0.23,0.16,26
"BohKai
Scyt",20,0.80,0.25,0.20,16
"pancc
HERO",99,0.81,0.21,0.13,21
"seven
TSM",24,0.88,0.08,0.08,21
"Flop1na
WILD.F",23,0.74,0.35,0.13,17
"NicoMachine
AK",57,0.61,0.54,0.09,19
zhen,72,0.97,0.22,0.33,25
"heat
KRÜ",21,0.81,0.10,0.10,17
"zander
M80",14,0.64,0.64,0.21,9
"Australis
FT S",24,1.04,0.29,0.08,25
msh,47,0.87,0.28,0.06,30
"JustnatioNN
UNT",74,0.85,0.39,0.15,24
"syfi
Argo",23,0.65,0.30,0.04,15
"Happen
PMT",36,0.64,0.36,0.08,12
"korosu
YFP",22,0.91,0.23,0.09,20
"limitado
THE",19,0.84,0.63,0.05,16
"Fizzy
MOUZ",33,0.82,0.30,0.12,18
"sociablEE
FF",23,0.70,0.48,0.04,16
"samed
DIV",19,1.00,0.26,0.26,19
"Zoestol
SAD",43,0.77,0.33,0.02,17
"Suki
UW.GC",74,0.86,0.27,0.11,27
"Okeanos
BC",212,0.90,0.19,0.25,27
"aspas
LEV",37,0.73,0.22,0.11,15
"svL
BTR",64,0.73,0.39,0.05,19
"zeldris
QOR",98,0.96,0.27,0.20,30
"PapiChulo
NAOS",41,0.71,0.20,0.05,16
"gatorada
SG",52,0.65,0.69,0.10,14
"zekken
SEN",133,0.88,0.17,0.26,31
"Rayzey
ARC",20,0.85,0.40,0.05,17
"roompa
VLYN",171,0.71,0.36,0.06,25
"HaReeee
IGZ",38,0.74,0.29,0.08,17
"jjasonl
Thug",19,0.84,0.47,0.00,16
"Rossy
T1",44,0.75,0.48,0.07,22
"Potter
XIA",74,0.81,0.30,0.26,19
"frz
MIBR",43,0.81,0.12,0.09,19
"renai
CU.V",30,0.87,0.37,0.07,26
"vblack
GEEK",21,0.81,0.43,0.10,17
