Player,RND,KPR,APR,FKPR,KMAX
"Xan
LZE",35,1.03,0.26,0.11,22
"sabooboo
KS",21,0.95,0.29,0.14,20
"Wavy
SRP",26,0.77,0.50,0.04,20
"h6tedthemost
ACE",30,0.97,0.53,0.17,29
"Apoth
EG",24,0.92,0.42,0.00,22
"qRaxs
FUT",41,0.76,0.54,0.07,18
"Sane
99th",18,0.72,0.61,0.11,13
"mikee
JL",29,0.66,0.31,0.10,10
"florescent
SR",120,0.96,0.21,0.16,32
"zeek
GN",93,0.76,0.46,0.06,17
"Palla
puGG",43,1.05,0.40,0.09,25
"SpYzera
FLC",49,0.78,0.41,0.08,17
"Atisca
BSCT",40,0.95,0.18,0.18,22
"conir
KRÜ.B",40,0.90,0.20,0.08,19
"unstable
DSG",122,0.98,0.34,0.13,33
"lucas
MFC",18,0.72,0.67,0.17,13
"Ching
1MS",24,0.79,0.58,0.04,19
"aduka
NXGA",21,0.86,0.38,0.14,18
"mada
MxS",69,1.04,0.25,0.25,27
"Noor
TU.O",60,1.00,0.37,0.25,35
"Askia
HERO",61,0.80,0.61,0.11,19
"brawk
MxS",69,0.77,0.32,0.06,22
"lissa
pouc",22,1.00,0.27,0.00,22
"Bully
NXT",24,0.92,0.21,0.00,22
"baha
IW",45,0.89,0.24,0.16,22
"SemberN
AW3",23,0.83,0.39,0.17,19
"Vow
SRP",26,1.04,0.50,0.08,27
"Lychii
DXA",22,0.95,0.59,0.09,21
"tinchoff
AK",20,0.95,0.10,0.05,19
colby,24,0.92,0.50,0.17,22
"Ooriime
3D",22,0.86,0.18,0.09,19
"caydeN
DSY",41,0.78,0.61,0.05,23
"LunaFox
KS",23,1.09,0.52,0.00,25
"alkyia
BBL.Q",24,0.88,0.46,0.25,21
"AvovA
APK",22,0.86,0.23,0.09,19
"Cohburg
SAD",17,1.06,0.12,0.06,18
"Sephia
HOWL.M",42,1.05,0.31,0.17,22
"valusia
Soli",23,0.70,0.35,0.04,16
"GGHuiii
LGD",66,0.95,0.21,0.26,25
"chukL9
APE",42,0.79,0.40,0.24,22
"srN
MIBR",70,1.01,0.26,0.29,36
"Surf
TLN",43,0.88,0.37,0.14,23
"Tillo
spec",22,0.77,0.68,0.05,17
"Brinks
WTR",54,0.69,0.54,0.09,13
COCOYEAHNAH,18,1.17,0.28,0.11,21
Palette,19,0.74,0.79,0.05,14
"Nythan
ARF",40,0.78,0.43,0.05,16
"proxima
BBL.Q",24,0.92,0.25,0.13,22
"cortezia
RED",38,0.82,0.55,0.11,20
"smiley
VLYN",62,0.81,0.39,0.10,27
"N A I S
GMT",24,1.00,0.17,0.13,24
Naxa,28,1.07,0.18,0.21,30
"dth
KAMI",24,1.04,0.33,0.04,25
BlissfulDeer,33,0.94,0.27,0.12,16
seyq,42,0.93,0.43,0.07,22
"MARCTYLINHO
DVM",18,0.72,0.39,0.11,13
Docks,24,0.67,0.29,0.00,16
"GangPin
RC",53,0.83,0.28,0.04,23
"lz
2G",20,1.00,0.40,0.30,20
"astr0
1MS",48,0.79,0.63,0.15,22
coop,40,0.98,0.33,0.25,24
"Turko
FF",54,0.78,0.28,0.07,23
"Kiuuuu
LGD",66,0.86,0.39,0.05,22
Troizyxgod,18,0.67,0.33,0.06,12
"phequa
The",64,1.08,0.14,0.25,32
"Nanners
ZMM.B",95,0.81,0.33,0.11,29
"Verno
OXG",22,0.82,0.27,0.05,18
"Morgan
BSCT",40,0.78,0.45,0.10,17
"Australis
FT S",38,0.89,0.08,0.13,21
"KXoma
MDK",43,0.81,0.56,0.05,22
"juseu
DVM",18,0.89,0.17,0.11,16
"Vital
Six",23,0.61,0.39,0.09,14
"Nescargot
Team",16,0.63,0.31,0.00,10
"luiza
BD.FEM",24,0.71,0.21,0.13,17
"Hyzee
FCY",19,0.74,0.47,0.11,14
Noor,42,0.76,0.33,0.10,17
"JoJo
FA",45,0.91,0.33,0.13,25
"Moh
FLC",49,0.73,0.55,0.12,16
"exy
DK",68,0.84,0.35,0.06,21
"dos9
RVNT",71,0.90,0.24,0.14,20
"Alicita
Team",16,0.88,0.38,0.00,14
"sScary
BLD",20,0.75,0.30,0.10,15
"LiriLia
KC.GC",22,0.73,0.50,0.23,16
"CRUNCH
Illu",26,0.85,0.08,0.12,22
"FakeAnanas
Sila",18,0.83,0.50,0.06,15
"SimonD4rk
R8",126,0.89,0.18,0.20,25
"keloqz
DVM",18,1.06,0.11,0.33,19
"Atenazzz
ZEN.GC",16,0.81,0.19,0.06,13
"Kohliii
GRY",143,0.74,0.55,0.08,21
"Sp1ke
CG",38,0.71,0.39,0.21,15
"Insider
KPI",58,0.90,0.19,0.14,30
"rDeeW
JJH",40,0.88,0.25,0.10,19
"tuyz
LOUD",69,0.72,0.59,0.06,19
"Dragon
JJH",40,0.90,0.60,0.10,19
"Akira
IGW",24,0.83,0.25,0.13,20
GodsB,26,0.92,0.23,0.12,24
"55EE
JDG",66,1.00,0.15,0.24,23
"Evilkyk
GLRS",69,0.74,0.43,0.07,20
"HearthBeat
MZP",44,0.84,0.34,0.07,22
"Supiree
GUP",22,0.95,0.18,0.23,21
"lumieexy
Leva",20,0.75,0.55,0.05,15
"Cfax
YDZ.B",26,0.92,0.08,0.04,24
"lurzy0y0
GAL",96,0.82,0.27,0.13,25
"maple
Wild",17,0.94,0.29,0.29,16
"coconut
OF",66,0.82,0.24,0.12,19
"Jelly
MIBR",70,0.86,0.24,0.13,23
"emluo
FLY.R",19,0.89,0.21,0.26,17
"prince
TBK",54,0.78,0.19,0.15,19
"penny
G2",45,0.73,0.11,0.16,18
"Absol
MRSH",30,0.80,0.23,0.23,18
"adrnking
GRY",143,0.87,0.36,0.13,19
"Kanpeki
TWT",50,0.86,0.44,0.04,22
"Jazzyk1ns
COL",106,0.83,0.25,0.19,29
"Dano
FSX",24,0.75,0.58,0.04,18
"lazylion
DSG",106,0.75,0.25,0.09,21
grahams,20,0.95,0.30,0.15,19
"Buld
GN",93,0.80,0.47,0.10,18
"iluri
MOUZ",62,0.76,0.37,0.03,21
"marteen
KC",104,0.87,0.24,0.19,23
"Fuzzie
TEAR",24,0.75,0.21,0.13,18
"k1zpawn
SAW",43,0.70,0.49,0.07,15
NOVAE,16,1.00,0.19,0.25,16
"bones
YFP",45,0.89,0.36,0.07,20
Elevati,22,0.82,0.45,0.14,18
"benG
XS",48,0.71,0.48,0.02,19
"senyorcarl
1MS",48,0.92,0.10,0.23,25
"wippie
C9",50,0.76,0.22,0.12,23
"nihggo
VENI",20,1.10,0.15,0.30,22
"Laz
NKT",87,0.78,0.24,0.10,23
"H1ber
CASE",42,0.74,0.29,0.05,16
"Kestrel
PDF",23,0.78,0.13,0.22,18
"Hermes
DK",68,0.79,0.46,0.13,22
"Addicted
SAW",43,0.79,0.28,0.09,18
"Ri0
OGS",21,0.81,0.24,0.14,17
"Bing Chilling
TAMU",42,0.71,0.52,0.10,17
"Click
SK",82,1.02,0.11,0.30,32
"MERZ
IW",45,0.78,0.40,0.09,20
