Player,RND,KPR,APR,FKPR,KMAX
"pryze
2G",86,0.84,0.35,0.12,22
"Cal
GTZ",26,0.85,0.65,0.08,22
"f0rsakeN
PRX",128,0.98,0.29,0.13,33
"Lateu
fuVi",73,0.74,0.32,0.12,17
"Cud
AE",62,0.81,0.18,0.05,20
"theia
FLY.R",73,0.71,0.55,0.08,15
"popoman4Q
FA",24,0.71,0.67,0.00,17
"cNed
FUT",57,0.89,0.18,0.18,19
"DaviH
CGN",37,0.73,0.22,0.05,16
"Kush
GRD",62,0.79,0.52,0.08,18
"pr0xy
MARU",23,1.00,0.52,0.22,23
"kryo
PRZ",22,1.09,0.32,0.18,24
Block,18,0.78,0.22,0.17,14
"lauzen
REG",23,0.83,0.22,0.00,19
"jeffie
HU",45,0.84,0.33,0.04,22
"TajReX
LDS",63,0.95,0.33,0.13,24
"sScary
BLD",20,0.80,0.35,0.10,16
"AsLanM4shadoW
S2G",43,0.93,0.40,0.07,24
"kpro
Igni",24,0.63,0.42,0.08,15
"Ixela
HOWL.M",17,0.65,0.29,0.06,11
"invy
TS",19,0.89,0.32,0.16,17
"stax
DRX",61,0.84,0.28,0.15,22
"LiNLiN
AKV.GC",59,0.81,0.39,0.08,23
Naxa,24,1.25,0.13,0.33,30
"Ronin
New",26,1.12,0.23,0.12,29
"MaKo
DRX",61,0.80,0.34,0.11,21
Misaya,42,0.83,0.52,0.07,18
"PapiChulo
NAOS",126,0.75,0.36,0.06,21
seyq,19,0.79,0.11,0.11,15
"RYRY
ARC",26,0.96,0.19,0.19,25
"gatorada
SG",42,0.86,0.40,0.10,21
"kAdavra
DVM",45,0.98,0.22,0.11,24
"FETA
AIC",87,0.82,0.18,0.24,22
"kiss
Dead",89,1.00,0.18,0.24,25
"niffy
AAA",68,0.91,0.21,0.15,25
"david
9z",78,0.71,0.42,0.08,18
"PowerPixele
PP",36,0.83,0.56,0.06,19
"Sushi
SCC.A",22,0.95,0.32,0.09,21
"MaiShiu
FOC",118,0.77,0.35,0.09,23
"Ziad
INST",48,0.85,0.19,0.33,21
"Saikiwi
UW.GC",41,0.88,0.29,0.10,19
"bstrdd
TL",22,1.00,0.09,0.23,22
K1LANI,19,0.84,0.37,0.26,16
"Siduzord
STE",70,0.77,0.30,0.09,15
"Hiiro
GTZ",26,0.85,0.12,0.27,22
"Katashio
CVU.NBG",17,0.82,0.12,0.12,14
"kv7m
UNta",73,0.68,0.60,0.04,14
"Criminal
SKUL",19,0.95,0.16,0.21,18
"Glenn
Siko",24,0.67,0.58,0.04,16
"iluri
MOUZ",63,0.84,0.33,0.13,21
Pinky D,16,0.88,0.31,0.06,14
"AloNeFillz
AAA",68,0.79,0.32,0.04,25
lg1c,23,0.91,0.13,0.17,21
"sogo
TACO",36,0.83,0.14,0.22,18
"xenia
HOWL.M",17,0.71,0.41,0.12,12
"Pkm
NS",70,0.99,0.27,0.21,26
YanLi,44,0.73,0.36,0.16,19
"Verno
OXG",71,0.79,0.18,0.13,21
"Creamydreamy
SNS",65,0.77,0.45,0.11,18
"Docent
KAST",46,0.87,0.28,0.09,25
"Reformed
EX-E",145,0.88,0.28,0.04,21
"Pa1nt
FCN",166,0.92,0.21,0.28,26
"ALEKSANDAR
MU",84,0.87,0.30,0.13,25
MrCipe,43,0.91,0.28,0.12,24
"none
9z.GC",19,1.21,0.16,0.26,23
"Koneko
AEX.N",33,0.82,0.48,0.09,16
"SpYzera
FLC",192,0.82,0.28,0.10,24
"JULIA
SNG",18,1.06,0.39,0.00,19
"Toki
FLCV",148,0.91,0.20,0.24,24
"Sp1ke
CG",39,1.03,0.13,0.28,24
"heat
KRÜ",21,0.81,0.29,0.05,17
"Shyy
KRÜ",42,0.81,0.31,0.14,18
"Mojer
NAOS",126,0.94,0.20,0.18,26
"askoo
Colo",24,1.04,0.42,0.04,25
"Korsonix
TOR",55,0.64,0.38,0.11,15
"velis
TOR",55,0.71,0.55,0.07,15
"Notexxd
Six",59,0.90,0.34,0.12,24
"LeoZ
N5R",71,0.72,0.28,0.11,20
"fausTao
ARF",40,0.98,0.18,0.25,27
"WerlasS
REG",23,0.74,0.22,0.00,17
"Blessed
FOC",118,0.83,0.37,0.10,28
"SwayZ
TOR",84,0.99,0.18,0.26,28
"qrthur
Skyl",24,0.83,0.21,0.17,20
"Dark3st
SAD",174,0.86,0.35,0.14,25
"gotten
AE",62,0.77,0.32,0.13,25
"Jiex
KPI.S",19,1.11,0.21,0.42,21
"Rebo
ROSE",51,0.86,0.29,0.08,24
"Ivy
AKV.GC",59,0.76,0.53,0.14,21
"Miku
FSX",24,0.88,0.46,0.17,21
"Chloe
FIRE",44,0.91,0.23,0.14,29
Arcues,22,0.95,0.18,0.18,21
"toxik
MSU",21,0.86,0.33,0.10,18
"Fizzy
MOUZ",63,0.89,0.33,0.08,22
"vorcez
Akro",22,0.95,0.36,0.09,21
"dokja
Team",44,1.09,0.09,0.11,31
"BENECIA
SLT",100,0.82,0.38,0.05,29
Kreya,33,0.76,0.12,0.03,13
"BcJ
M80",19,0.74,0.26,0.11,14
"NakJi
LFG",109,0.83,0.50,0.04,21
"johnqt
SEN",251,0.76,0.25,0.10,19
"Mykoz
FB",68,0.96,0.37,0.09,25
"Dragon
JJH",21,0.76,0.38,0.05,16
"KP
RF.GC",23,0.87,0.26,0.26,20
"hiro
SUP",77,0.73,0.47,0.04,20
"Izzy
SUP",77,0.94,0.22,0.25,35
"Momiji
Fish",84,0.89,0.21,0.13,25
"catalina
ZEN.GC",16,0.81,0.50,0.13,13
"zerona
ZMM.B",119,0.97,0.25,0.15,32
Recoil,70,0.86,0.37,0.07,26
"Anoxai
tras",42,0.79,0.19,0.19,22
"yuran
ZETA",21,0.67,0.24,0.00,14
"Anq
RGES",49,0.98,0.16,0.20,28
"Foxy9
DRX",61,0.80,0.31,0.11,21
"CALVIN S
GEEK",16,0.56,0.56,0.00,9
"tril
UW.G",23,0.87,0.39,0.04,20
"kamo
KOI",68,0.87,0.32,0.19,24
"KILLDREAM
ELV",26,0.96,0.19,0.15,25
"Karra
FLY.R",35,0.74,0.34,0.11,14
"Akai
FLC",192,0.97,0.19,0.23,26
"Leare
ZETA",19,1.00,0.05,0.11,19
"tinchoff
AK",118,0.78,0.13,0.12,25
"seph1roth
MITH",69,0.81,0.29,0.07,24
"xuss
MOUZ",63,0.83,0.16,0.27,21
"unstable
DSG",55,0.84,0.38,0.20,21
sereen,20,0.95,0.15,0.30,19
972,91,0.87,0.37,0.10,28
"binjo
KZ",24,0.96,0.13,0.17,23
"cortezia
RED",43,0.72,0.40,0.00,17
"dimaxx
FUZO",24,0.58,0.54,0.00,14
"Kehmicals
TOR",36,0.75,0.31,0.11,15
"AFoxx
RAAD",24,0.88,0.17,0.04,21
"florescent
SR",24,0.92,0.13,0.04,22
"Inumo
VCTRY",21,0.76,0.19,0.14,16
"zekken
SEN",251,0.91,0.28,0.20,29
"Nh0zKon
YMG",22,1.05,0.27,0.27,23
yhury,39,0.79,0.21,0.05,19
"musashi
ACE",103,0.89,0.16,0.14,33
"Flossie
FIRE",36,0.92,0.22,0.08,23
"corey
TTR",24,0.88,0.54,0.04,21
"kayle
NDG",24,0.63,0.50,0.08,15
"HANLING
NOTT",71,0.89,0.35,0.11,26
"Zellsis
SEN",251,0.74,0.40,0.10,19
Unique,23,0.83,0.22,0.04,19
"Shao
NAVI",85,0.82,0.47,0.07,24
Zodiac,20,0.90,0.25,0.35,18
"madv
FLCV",148,0.74,0.53,0.06,19
"Elisa
NB",20,0.95,0.40,0.15,19
"NDG
TS",19,0.74,0.16,0.00,14
pashab,42,0.83,0.26,0.17,23
"Cleeann
Lyos",24,1.00,0.08,0.13,24
"ValdyN
AE",62,0.79,0.21,0.13,20
"Sushiboys
FS",66,0.77,0.32,0.08,24
"Dinxx
WVU",18,0.89,0.28,0.17,16
"chanformer
NXT",26,0.81,0.35,0.04,21
"jowa
TM",17,0.88,0.18,0.00,15
"Movi
PMT",70,0.73,0.36,0.10,23
"Vera
LZE",57,0.93,0.21,0.28,18
"sillykitty53453
BRK.GC",24,0.96,0.21,0.21,23
"Avez
NASR",171,0.77,0.27,0.07,24
"Rexon
EYG",64,0.80,0.31,0.05,21
"Spaz
TACO",137,0.76,0.42,0.09,22
"chloric
LV",47,0.62,0.53,0.02,17
XyuS,44,0.91,0.09,0.18,23
"Retla
BLD",20,0.55,0.25,0.00,11
"7ssk7
NASR",171,0.71,0.49,0.04,24
"maple
Wild",22,1.05,0.09,0.18,23
"Lied
FSX",24,0.96,0.08,0.21,23
"shen
1337",41,0.73,0.34,0.05,17
"Rainy
CBT",44,0.57,0.55,0.09,13
"CaspeR
MLT.GC",55,0.58,0.38,0.04,14
j3lly,42,0.79,0.50,0.07,20
"Lumo
SZ",64,0.72,0.44,0.03,18
"KHaaLiD
FLC",192,0.74,0.51,0.09,22
"Touven
GGO",46,0.85,0.24,0.09,20
"Wild0reoo
PHI",82,0.79,0.29,0.10,20
"Ruxic
FF",101,0.83,0.34,0.08,24
"eeiu
100T",77,0.71,0.23,0.06,17
"SkRossi
RVNT",83,0.64,0.61,0.06,14
"McKinley
AIC",87,0.72,0.30,0.10,19
"reazy
BBL",42,0.69,0.57,0.00,15
"IceyKL
Six",59,0.73,0.29,0.10,17
BLOD,21,0.71,0.33,0.24,15
"Tenker
TYE",19,1.05,0.37,0.16,20
"YamzzI
FL.GC",20,0.70,0.30,0.15,14
"pandejalea
19",21,0.76,0.10,0.24,16
patitop,16,0.75,0.25,0.19,12
"grumble
LZE",57,0.74,0.42,0.07,22
"Hemsyxx
CE",20,0.90,0.10,0.15,18
"madcon
OXR",20,0.65,0.55,0.05,13
"Flaring
AE",57,0.54,0.37,0.05,12
"mimi
G2.G",111,0.71,0.45,0.09,25
"NXBLE
TAMU",55,0.76,0.38,0.09,32
"Palla
puGG",70,0.87,0.10,0.19,19
"Prey
Cone",23,0.83,0.17,0.26,19
"predsu
CC P",23,0.91,0.22,0.04,21
"cbui
SNG",55,0.65,0.49,0.11,14
"Nozz
BOBO",88,0.69,0.44,0.08,20
Mami,21,0.90,0.24,0.19,19
"Yotaa
AKR",46,0.98,0.17,0.20,25
"Addi
KARM",26,0.88,0.12,0.31,23
