Player,RND,KPR,APR,FKPR,KMAX
"bee
CTRL",14,1.57,0.21,0.43,22
nothing,17,1.53,0.29,0.06,26
"v1c
MxS",15,1.40,0.20,0.20,21
"siraphop
XIA",16,1.81,0.31,0.06,29
kalli,18,1.44,0.39,0.28,26
blurry,35,1.49,0.20,0.37,27
"Izuki
FLC",19,1.58,0.11,0.21,30
"Dia
SZ.GC",16,1.56,0.38,0.38,25
"Flaring
AE",15,1.20,0.53,0.07,18
"Risorah
No T",14,1.57,0.21,0.29,22
ennui,19,1.42,0.32,0.21,27
"Yexz
UMD",39,1.46,0.15,0.33,33
"etan
CSP",14,1.29,0.43,0.07,18
Akane,17,1.53,0.24,0.29,26
"Nadroj
VIVID",17,1.35,0.41,0.24,23
DariusBBCDanis,17,1.24,0.18,0.24,21
bella,17,1.47,0.24,0.24,25
"Austeeno
Bamb",14,0.79,0.57,0.00,11
"Liz
6K.Fem",18,1.56,0.06,0.39,28
"SUPERPHROG
NB",15,1.27,0.13,0.47,19
"SUMM3R
BSG.GC",37,1.16,0.05,0.14,25
"Sylva
XL.GC",14,1.00,0.71,0.00,14
"waved
LOUD.GC",94,1.35,0.17,0.32,46
"light
TLP",23,1.17,0.52,0.00,27
"Zneva
NOM",16,1.38,0.13,0.06,22
zetik,16,1.25,0.19,0.19,20
"GOATz
OPST",20,1.15,0.50,0.10,23
Cheddy,14,1.07,0.29,0.14,15
"jake
CSP",14,1.14,0.07,0.43,16
"Licht
6K.Fem",18,1.00,0.33,0.17,18
GaenessOfTheAnuz,18,0.89,0.28,0.17,16
fives,19,1.21,0.16,0.16,23
BayPopper,19,1.11,0.11,0.11,21
"thiefy
NTH",26,1.19,0.27,0.27,31
"Dantedeu5
AK",24,1.13,0.08,0.17,27
chimken,19,1.26,0.32,0.11,24
"GodDead
ODG",26,1.04,0.81,0.04,27
"maryna
YFP",70,1.04,0.43,0.14,23
horror,17,1.18,0.35,0.35,20
"Haxtrax
Sila",101,1.21,0.16,0.18,32
"none
9z.GC",50,1.24,0.20,0.32,32
"soRa
QLSH",19,1.21,0.11,0.32,23
"BONCE
PDF",23,1.39,0.13,0.13,32
elmà,94,1.18,0.24,0.27,29
"BerserX
BME",73,1.01,0.16,0.05,27
Moco,17,1.12,0.35,0.18,19
GunterR,67,1.03,0.36,0.12,20
"tess
MLT.GC",79,1.01,0.09,0.09,23
"Kyu
Grif",62,1.05,0.29,0.05,24
KhenZy,58,1.17,0.12,0.17,31
"Eluny
Sock",28,1.21,0.18,0.21,34
"mon
Alloy.Fe",40,1.23,0.23,0.43,26
"Shintaro
ZOL",59,1.24,0.36,0.22,32
"shirazi
XIP",31,0.94,0.35,0.10,17
Toga,17,1.06,0.24,0.18,18
"Xan
LZE",75,1.15,0.29,0.13,27
"momo
C4C",17,0.94,0.35,0.00,16
"Samsi
Azur",49,1.12,0.12,0.04,31
"Kaah
TLV",68,1.07,0.12,0.15,24
"Famouz
BME",73,1.21,0.29,0.36,29
"Babytz
FSS",48,1.04,0.10,0.21,20
Beelloo,21,1.05,0.10,0.24,22
"freeing
DK",72,1.08,0.08,0.15,21
"bstrdd
TL",52,1.17,0.13,0.19,24
"UR
ZETA.GC",17,0.94,0.41,0.12,16
"tok1o
Sduf",139,1.10,0.15,0.22,27
"Sp1ke
CG",18,1.22,0.28,0.28,22
"JuW
AKV.GC",90,1.06,0.14,0.24,28
"addison
Raw",34,1.18,0.15,0.35,29
"madv
FLCV",84,1.10,0.19,0.14,31
"LOB
VL",48,0.96,0.27,0.02,25
hieu,62,1.24,0.19,0.35,31
"Oderus
MxS",15,0.87,0.27,0.20,13
"NAKSU
HOWL.M",39,1.10,0.21,0.36,22
"brawk
MxS",15,0.73,0.47,0.07,11
Arlight,100,1.07,0.26,0.16,33
"illumi
ANTC",17,1.18,0.12,0.35,20
"Brave
BBL",16,1.13,0.44,0.13,18
"jduh
O1O",76,1.04,0.33,0.11,22
HiNa,21,1.19,0.19,0.14,25
"maple
Wild",18,1.28,0.17,0.39,23
"Acerola
LAZY",51,0.94,0.16,0.10,21
"Tara
XIP",31,0.77,0.16,0.10,12
"gloom
EZKI",23,0.83,0.78,0.09,19
"f4ngeer
tras",39,0.90,0.15,0.28,20
"jeed
TDK",17,1.24,0.12,0.18,21
"zander
M80",76,1.05,0.57,0.18,23
"arato
WU",16,0.94,0.38,0.19,15
"Alexy
XIP",31,1.03,0.03,0.26,18
"els
BOBE",36,1.00,0.28,0.17,22
"Ellie
KS",53,1.02,0.42,0.11,24
"Anq
RGES",141,1.11,0.13,0.23,27
"sia
BOBE",57,1.00,0.07,0.12,22
"Sayonara
KPI",60,1.02,0.25,0.18,22
Oly,77,0.99,0.35,0.13,25
Devie,23,1.00,0.13,0.22,23
Big Tonka T,22,1.05,0.09,0.23,23
"152
C4C",17,0.76,0.71,0.06,13
"aspas
LEV",89,1.09,0.17,0.17,31
"caiobazinn
bs",37,0.89,0.24,0.03,17
"JinNy
FSS",54,0.76,0.37,0.02,18
"SereNa
ZETA.GC",17,0.88,0.41,0.06,15
"Nightmare
UCF.G",37,0.95,0.35,0.08,18
CRIME,98,1.04,0.28,0.16,27
"Elite
BBL",16,1.06,0.13,0.00,17
pudj,17,1.00,0.47,0.00,17
"alvar
GMX",37,1.03,0.14,0.27,19
"snowkey
BFG",21,1.05,0.38,0.10,22
"slathom999
GEEK",89,1.08,0.28,0.07,29
"Feeqn
OF",99,1.02,0.22,0.14,23
bostaliquida123,58,0.97,0.16,0.26,27
"Thuy
ZER.M",45,1.07,0.24,0.20,26
"Kimchi
shar",102,1.17,0.20,0.19,28
"syfi
Argo",76,0.95,0.18,0.21,23
"bravo
dupl",15,1.00,0.07,0.20,15
pingu,17,1.06,0.06,0.29,18
"RedKoh
LESS",15,1.00,0.67,0.00,15
Shawn,19,0.84,0.68,0.05,16
"DarkLight
HSMI",23,0.83,0.39,0.00,19
"emp404
EVOP",43,0.95,0.23,0.09,22
"Vaix
TZ.BB",17,1.18,0.29,0.18,20
"vis
UT D",20,1.00,0.05,0.15,20
"Byron
QLSH",19,1.11,0.21,0.05,21
"Bull3ts
EvHz",21,1.43,0.05,0.38,30
ZERO,20,0.95,0.40,0.20,19
"redo
RB",89,0.89,0.27,0.08,25
