,,RND,KPR,APR,FKPR,KMAX
tconda,ascent_stats,18,1.00,0.00,0.17,18
tconda,bind_stats,78,0.99,0.18,0.15,32
tconda,breeze_stats,48,0.96,0.19,0.29,23
tconda,icebox_stats,15,0.53,0.07,0.20,8
tconda,lotus_stats,16,0.75,0.06,0.06,12
tconda,split_stats,52,0.77,0.15,0.21,23
tconda,sunset_stats,76,1.04,0.21,0.20,24
123,ascent_stats,93,0.96,0.10,0.22,35
123,bind_stats,60,0.97,0.22,0.15,30
123,lotus_stats,48,0.83,0.10,0.25,23
123,split_stats,84,1.00,0.08,0.18,29
123,sunset_stats,37,0.86,0.16,0.14,22
haint,ascent_stats,242,0.82,0.26,0.07,24
haint,bind_stats,121,0.87,0.33,0.06,19
haint,breeze_stats,24,1.00,0.29,0.08,24
haint,icebox_stats,122,0.75,0.21,0.07,23
haint,lotus_stats,196,0.64,0.35,0.08,19
haint,split_stats,118,0.75,0.29,0.08,21
Phatt,ascent_stats,128,0.61,0.67,0.05,17
Phatt,bind_stats,19,0.42,0.32,0.05,8
Phatt,icebox_stats,56,0.46,0.39,0.07,12
Phatt,lotus_stats,102,0.59,0.69,0.06,18
Phatt,split_stats,52,0.50,0.31,0.06,17
Phatt,sunset_stats,34,0.53,0.62,0.06,10
VTaguT,ascent_stats,128,0.77,0.39,0.08,27
VTaguT,bind_stats,19,0.42,0.16,0.00,8
VTaguT,icebox_stats,56,0.61,0.39,0.07,16
VTaguT,lotus_stats,102,0.85,0.32,0.12,25
VTaguT,split_stats,52,0.73,0.37,0.02,19
VTaguT,sunset_stats,34,0.59,0.56,0.06,13
BojioNatalie,ascent_stats,45,0.87,0.18,0.13,21
BojioNatalie,bind_stats,90,0.52,0.23,0.09,15
BojioNatalie,lotus_stats,47,0.70,0.17,0.09,18
BojioNatalie,split_stats,118,0.78,0.24,0.13,23
BojioNatalie,sunset_stats,59,0.63,0.34,0.05,21
Yukine,ascent_stats,36,0.75,0.31,0.06,15
Yukine,bind_stats,18,0.61,0.22,0.00,11
Yukine,breeze_stats,17,0.94,0.35,0.06,16
Yukine,icebox_stats,61,0.64,0.18,0.03,20
Yukine,lotus_stats,149,0.64,0.41,0.03,19
Yukine,split_stats,17,0.76,0.24,0.06,13
Yukine,sunset_stats,56,0.89,0.27,0.04,21
desire,ascent_stats,197,0.80,0.37,0.09,20
desire,bind_stats,145,0.81,0.25,0.07,22
desire,breeze_stats,79,0.76,0.46,0.10,17
desire,icebox_stats,156,0.70,0.27,0.08,20
desire,lotus_stats,78,0.58,0.36,0.08,22
desire,split_stats,24,0.29,0.42,0.04,7
desire,sunset_stats,19,0.63,0.47,0.05,12
Blezzcat,ascent_stats,38,0.74,0.18,0.13,17
Blezzcat,bind_stats,17,0.82,0.18,0.00,14
Blezzcat,icebox_stats,24,0.75,0.33,0.00,18
Janna,ascent_stats,20,0.85,0.30,0.05,17
Janna,bind_stats,28,0.71,0.32,0.11,20
Janna,sunset_stats,15,0.93,0.67,0.13,14
Cherzinga,ascent_stats,74,0.66,0.50,0.08,14
Cherzinga,bind_stats,18,0.39,0.56,0.06,7
Cherzinga,breeze_stats,20,0.65,0.35,0.25,13
Cherzinga,icebox_stats,39,0.72,0.38,0.03,17
Cherzinga,lotus_stats,19,0.68,0.47,0.21,13
Cherzinga,split_stats,23,0.35,0.39,0.00,8
Cherzinga,sunset_stats,52,0.71,0.31,0.13,28
Cohburg,ascent_stats,207,0.76,0.21,0.11,23
Cohburg,bind_stats,17,1.06,0.12,0.06,18
Cohburg,breeze_stats,135,0.72,0.19,0.10,19
Cohburg,icebox_stats,97,0.67,0.20,0.08,17
Cohburg,lotus_stats,139,0.73,0.20,0.09,21
Cohburg,split_stats,142,0.77,0.23,0.12,21
Cohburg,sunset_stats,87,0.62,0.18,0.10,15
yiinel,ascent_stats,233,0.67,0.33,0.09,21
yiinel,bind_stats,212,0.58,0.40,0.08,22
yiinel,breeze_stats,18,0.28,0.17,0.00,5
yiinel,icebox_stats,248,0.67,0.21,0.05,24
yiinel,lotus_stats,287,0.61,0.33,0.06,20
yiinel,split_stats,258,0.64,0.29,0.08,19
yiinel,sunset_stats,71,0.41,0.21,0.06,11
amelist,ascent_stats,182,0.82,0.56,0.09,25
amelist,bind_stats,148,0.67,0.47,0.09,20
amelist,icebox_stats,41,0.71,0.41,0.05,15
amelist,lotus_stats,176,0.63,0.49,0.05,23
amelist,split_stats,81,0.72,0.53,0.06,20
amelist,sunset_stats,180,0.81,0.63,0.08,25
shina,ascent_stats,20,0.85,0.35,0.20,17
shina,icebox_stats,88,0.70,0.10,0.13,16
shina,lotus_stats,48,0.85,0.13,0.23,19
shina,split_stats,35,0.31,0.11,0.09,8
shina,sunset_stats,41,0.51,0.22,0.02,13
rei,ascent_stats,37,0.73,0.51,0.00,16
rei,bind_stats,28,0.71,0.29,0.00,20
rei,lotus_stats,18,0.33,0.28,0.00,6
Loco,ascent_stats,40,0.85,0.15,0.20,17
Loco,bind_stats,21,0.86,0.05,0.14,18
Loco,breeze_stats,70,0.66,0.10,0.11,26
Loco,icebox_stats,59,0.95,0.08,0.34,29
Loco,lotus_stats,37,0.92,0.24,0.32,19
Loco,split_stats,59,0.69,0.41,0.07,21
Loco,sunset_stats,43,1.00,0.14,0.47,24
lenne,ascent_stats,78,0.67,0.32,0.10,17
lenne,breeze_stats,42,0.43,0.36,0.00,10
lenne,lotus_stats,24,0.46,0.58,0.04,11
lenne,split_stats,23,0.26,0.26,0.04,6
lenne,sunset_stats,24,0.63,0.42,0.08,15
lillz,ascent_stats,46,0.83,0.52,0.09,20
lillz,lotus_stats,44,0.61,0.36,0.02,14
lillz,split_stats,24,0.58,0.38,0.04,14
Kyeopta,ascent_stats,34,0.62,0.97,0.18,11
Kyeopta,breeze_stats,20,0.65,0.50,0.10,13
Kyeopta,icebox_stats,16,0.25,0.44,0.06,4
Kyeopta,lotus_stats,38,0.58,0.32,0.11,12
Kyeopta,sunset_stats,53,0.68,0.23,0.06,26
Aihara,ascent_stats,23,0.87,0.26,0.13,20
Aihara,bind_stats,98,0.64,0.40,0.05,28
Aihara,breeze_stats,40,0.80,0.35,0.08,18
Aihara,lotus_stats,53,0.77,0.36,0.06,18
Aihara,split_stats,19,0.79,0.32,0.11,15
Aihara,sunset_stats,17,0.82,0.12,0.06,14
stunna,ascent_stats,68,0.93,0.18,0.16,25
stunna,bind_stats,46,0.74,0.07,0.11,18
stunna,icebox_stats,31,0.97,0.23,0.16,19
stunna,split_stats,41,0.93,0.15,0.12,20
stunna,sunset_stats,55,1.04,0.33,0.22,19
Leo,ascent_stats,18,0.56,0.50,0.06,10
Leo,bind_stats,48,0.65,0.44,0.10,17
Leo,breeze_stats,37,0.73,0.38,0.03,18
Leo,icebox_stats,143,0.45,0.34,0.05,13
Leo,lotus_stats,162,0.70,0.22,0.06,19
Leo,split_stats,16,0.81,0.13,0.00,13
Leo,sunset_stats,81,0.65,0.30,0.07,23
SalmonRolls,ascent_stats,40,0.83,0.25,0.05,17
SalmonRolls,bind_stats,42,0.55,0.62,0.02,12
SalmonRolls,breeze_stats,59,0.71,0.19,0.10,17
SalmonRolls,icebox_stats,77,0.84,0.31,0.08,23
SalmonRolls,lotus_stats,46,0.76,0.52,0.04,20
SalmonRolls,split_stats,19,0.68,0.11,0.16,13
Mooky,ascent_stats,19,0.84,0.37,0.16,16
Mooky,lotus_stats,14,0.43,0.14,0.07,6
Mooky,sunset_stats,15,0.47,0.00,0.20,7
Babytz,ascent_stats,64,0.89,0.31,0.13,21
Babytz,bind_stats,75,0.75,0.48,0.12,20
Babytz,icebox_stats,48,1.04,0.10,0.21,20
Babytz,lotus_stats,56,0.79,0.32,0.13,16
Babytz,split_stats,68,0.93,0.41,0.16,26
Babytz,sunset_stats,98,0.89,0.29,0.12,25
erde,ascent_stats,111,0.73,0.38,0.11,20
erde,bind_stats,87,0.75,0.39,0.09,21
erde,icebox_stats,23,0.52,0.30,0.04,12
erde,lotus_stats,80,0.74,0.44,0.04,19
erde,split_stats,31,0.71,0.23,0.23,12
erde,sunset_stats,83,0.71,0.18,0.11,18
zMART,ascent_stats,176,0.93,0.19,0.31,26
zMART,bind_stats,24,0.63,0.17,0.25,15
zMART,breeze_stats,41,0.54,0.12,0.20,12
zMART,icebox_stats,37,0.95,0.16,0.24,18
zMART,lotus_stats,113,0.80,0.17,0.18,29
zMART,split_stats,173,0.84,0.24,0.20,33
zMART,sunset_stats,110,1.08,0.15,0.24,34
SkRossi,ascent_stats,162,0.86,0.28,0.14,25
SkRossi,bind_stats,71,0.97,0.28,0.11,26
SkRossi,breeze_stats,92,0.73,0.24,0.11,20
SkRossi,icebox_stats,204,0.75,0.23,0.06,23
SkRossi,lotus_stats,174,0.73,0.30,0.07,26
SkRossi,split_stats,101,0.74,0.58,0.08,22
SkRossi,sunset_stats,14,1.07,0.79,0.29,15
Bix,ascent_stats,68,0.90,0.21,0.12,22
Bix,icebox_stats,14,0.57,0.21,0.00,8
Bix,lotus_stats,64,0.64,0.16,0.09,17
Bix,split_stats,19,0.95,0.47,0.16,18
donys,ascent_stats,32,0.72,0.16,0.03,23
donys,bind_stats,23,0.22,0.09,0.00,5
donys,icebox_stats,18,0.94,0.06,0.00,17
donys,split_stats,30,0.50,0.10,0.10,15
Ayble,ascent_stats,19,1.05,0.47,0.05,20
Ayble,split_stats,14,0.50,0.36,0.07,7
Eden,ascent_stats,26,0.73,0.15,0.19,19
Eden,bind_stats,94,0.64,0.28,0.06,20
Eden,breeze_stats,21,1.10,0.24,0.10,23
Eden,icebox_stats,60,0.85,0.30,0.03,22
Eden,lotus_stats,50,0.66,0.26,0.12,18
Eden,split_stats,19,0.63,0.00,0.11,12
Eden,sunset_stats,64,0.64,0.20,0.06,21
Ginilson,ascent_stats,112,0.94,0.26,0.12,26
Ginilson,bind_stats,24,0.83,0.17,0.21,20
Ginilson,icebox_stats,68,0.78,0.16,0.07,22
Ginilson,lotus_stats,59,0.83,0.20,0.10,19
Ginilson,sunset_stats,23,0.57,0.22,0.09,13
Kouf,ascent_stats,65,0.89,0.28,0.05,28
Kouf,bind_stats,26,0.46,0.54,0.12,12
Kouf,breeze_stats,22,0.50,0.09,0.05,11
Kouf,icebox_stats,164,0.69,0.20,0.10,22
Kouf,lotus_stats,141,0.97,0.20,0.12,29
Kouf,split_stats,50,0.84,0.22,0.12,25
Kouf,sunset_stats,83,0.86,0.37,0.07,26
gucc107,ascent_stats,83,0.88,0.47,0.06,22
gucc107,bind_stats,49,0.76,0.49,0.02,19
gucc107,breeze_stats,117,0.50,0.38,0.02,11
gucc107,icebox_stats,181,0.64,0.30,0.03,19
gucc107,lotus_stats,299,0.62,0.35,0.06,19
gucc107,split_stats,89,0.76,0.31,0.07,26
gucc107,sunset_stats,225,0.64,0.52,0.04,17
Danda,ascent_stats,141,0.69,0.52,0.08,21
Danda,breeze_stats,19,0.53,0.32,0.00,10
Danda,icebox_stats,113,0.81,0.27,0.10,30
Danda,lotus_stats,87,0.74,0.46,0.09,26
Danda,split_stats,119,0.70,0.41,0.07,21
Danda,sunset_stats,67,0.54,0.37,0.04,14
jjasonl,ascent_stats,62,0.85,0.26,0.11,23
jjasonl,bind_stats,65,0.65,0.20,0.12,15
jjasonl,icebox_stats,22,0.77,0.14,0.18,17
jjasonl,lotus_stats,76,0.79,0.34,0.08,16
jjasonl,split_stats,78,0.82,0.53,0.08,21
jjasonl,sunset_stats,57,0.70,0.35,0.04,16
Dory,ascent_stats,89,0.72,0.64,0.10,15
Dory,icebox_stats,77,0.53,0.30,0.06,11
Dory,lotus_stats,142,0.83,0.56,0.05,22
Dory,split_stats,50,0.88,0.32,0.02,23
Dory,sunset_stats,20,1.05,0.50,0.15,21
Yassien,ascent_stats,146,0.76,0.31,0.18,22
Yassien,bind_stats,56,0.89,0.21,0.09,22
Yassien,breeze_stats,17,0.88,0.76,0.18,15
Yassien,icebox_stats,118,0.79,0.25,0.08,19
Yassien,split_stats,113,0.69,0.24,0.12,26
Yassien,sunset_stats,121,0.64,0.35,0.10,18
Bignatex,ascent_stats,16,0.81,0.56,0.19,13
Bignatex,breeze_stats,21,0.71,0.05,0.00,15
Bignatex,lotus_stats,40,0.98,0.43,0.18,24
Harmonee,ascent_stats,101,0.78,0.31,0.09,19
Harmonee,bind_stats,40,0.60,0.23,0.08,16
Harmonee,breeze_stats,17,0.59,0.06,0.00,10
Harmonee,lotus_stats,17,0.24,0.59,0.06,4
Harmonee,split_stats,17,0.41,0.12,0.00,7
Harmonee,sunset_stats,97,0.63,0.22,0.04,14
master bottom,ascent_stats,34,0.94,0.24,0.15,16
master bottom,bind_stats,20,0.30,0.55,0.05,6
master bottom,icebox_stats,41,0.93,0.37,0.22,27
master bottom,lotus_stats,34,0.82,0.21,0.15,18
ValdyN,ascent_stats,64,0.67,0.69,0.08,19
ValdyN,bind_stats,56,0.64,0.21,0.05,14
ValdyN,icebox_stats,36,0.78,0.17,0.17,17
ValdyN,lotus_stats,147,0.81,0.35,0.13,23
ValdyN,split_stats,62,0.79,0.21,0.13,20
ValdyN,sunset_stats,85,0.67,0.47,0.05,16
galaxy,ascent_stats,153,0.68,0.41,0.06,19
galaxy,lotus_stats,79,0.70,0.30,0.05,20
galaxy,sunset_stats,18,0.50,0.22,0.06,9
ninim,ascent_stats,53,0.83,0.23,0.17,19
ninim,breeze_stats,42,0.64,0.12,0.12,16
ninim,lotus_stats,37,0.73,0.11,0.14,14
ninim,split_stats,24,0.58,0.21,0.08,14
Amoreio,ascent_stats,64,0.80,0.44,0.09,22
Amoreio,lotus_stats,41,0.66,0.44,0.05,19
Amoreio,split_stats,24,0.92,0.29,0.17,22
Amoreio,sunset_stats,18,0.56,0.33,0.06,10
moefcute,ascent_stats,162,0.98,0.15,0.22,27
moefcute,bind_stats,150,0.88,0.15,0.15,32
moefcute,breeze_stats,18,0.67,0.22,0.17,12
moefcute,icebox_stats,51,0.92,0.37,0.18,23
moefcute,lotus_stats,17,1.24,0.00,0.29,21
moefcute,split_stats,41,0.78,0.20,0.15,16
moefcute,sunset_stats,129,0.96,0.17,0.22,27
practo,ascent_stats,225,0.80,0.30,0.13,25
practo,bind_stats,187,0.90,0.49,0.11,23
practo,breeze_stats,83,0.86,0.22,0.14,23
practo,icebox_stats,322,0.90,0.18,0.14,26
practo,lotus_stats,120,0.93,0.51,0.08,31
practo,split_stats,125,0.68,0.24,0.14,23
practo,sunset_stats,202,0.92,0.26,0.13,33
puffy panda,ascent_stats,43,0.51,0.33,0.09,14
puffy panda,breeze_stats,17,1.00,0.35,0.00,17
puffy panda,icebox_stats,34,0.38,0.18,0.00,7
puffy panda,lotus_stats,115,0.70,0.14,0.04,21
puffy panda,sunset_stats,17,0.59,0.24,0.18,10
everybody dies,ascent_stats,20,0.85,0.30,0.15,17
everybody dies,breeze_stats,22,0.73,0.18,0.09,16
Suka,ascent_stats,79,0.84,0.41,0.14,22
Suka,bind_stats,47,0.72,0.64,0.13,20
Suka,breeze_stats,33,0.70,0.33,0.12,13
Suka,icebox_stats,52,0.58,0.23,0.08,15
Suka,lotus_stats,58,0.78,0.43,0.09,19
Suka,sunset_stats,77,0.90,0.52,0.13,20
Nukem Mist,ascent_stats,23,0.83,0.48,0.04,19
Nukem Mist,breeze_stats,18,0.44,0.28,0.00,8
Nukem Mist,icebox_stats,15,0.47,0.27,0.00,7
Nukem Mist,split_stats,23,0.43,0.39,0.04,10
Nukem Mist,sunset_stats,21,1.00,0.24,0.10,21
BLOOM,ascent_stats,42,0.86,0.33,0.10,21
BLOOM,bind_stats,43,0.70,0.19,0.05,18
BLOOM,breeze_stats,22,0.41,0.41,0.09,9
BLOOM,icebox_stats,32,0.28,0.38,0.03,6
BLOOM,lotus_stats,19,0.74,0.21,0.11,14
BLOOM,split_stats,36,0.89,0.17,0.08,24
BLOOM,sunset_stats,16,0.44,0.13,0.00,7
qxv,ascent_stats,126,0.81,0.21,0.18,29
qxv,breeze_stats,36,0.50,0.17,0.11,11
qxv,lotus_stats,67,0.78,0.27,0.16,19
qxv,split_stats,42,0.62,0.10,0.12,16
qxv,sunset_stats,92,1.03,0.20,0.26,28
6sonya,ascent_stats,131,0.76,0.34,0.14,21
6sonya,bind_stats,26,0.35,0.35,0.04,9
6sonya,breeze_stats,90,0.74,0.24,0.07,25
6sonya,icebox_stats,76,0.59,0.32,0.12,14
6sonya,lotus_stats,65,0.94,0.22,0.12,24
6sonya,split_stats,100,0.48,0.35,0.06,16
6sonya,sunset_stats,43,0.65,0.33,0.05,18
k1zpawn,ascent_stats,133,0.74,0.23,0.11,23
k1zpawn,bind_stats,62,0.77,0.45,0.08,18
k1zpawn,icebox_stats,96,0.65,0.18,0.05,19
k1zpawn,split_stats,26,0.54,0.19,0.00,14
k1zpawn,sunset_stats,40,0.73,0.20,0.10,18
zekken,ascent_stats,102,0.93,0.17,0.25,25
zekken,bind_stats,156,0.83,0.23,0.19,27
zekken,breeze_stats,78,0.74,0.13,0.23,20
zekken,icebox_stats,137,0.71,0.09,0.20,21
zekken,lotus_stats,222,0.91,0.21,0.23,32
zekken,split_stats,251,0.91,0.28,0.20,29
zekken,sunset_stats,156,0.90,0.15,0.27,31
Bobbert,ascent_stats,105,0.81,0.40,0.04,29
Bobbert,bind_stats,23,0.39,0.17,0.04,9
Bobbert,breeze_stats,61,0.46,0.26,0.07,12
Bobbert,icebox_stats,56,0.64,0.30,0.05,15
Bobbert,lotus_stats,44,0.64,0.27,0.05,15
Bobbert,split_stats,16,0.50,0.31,0.00,8
Bobbert,sunset_stats,28,0.96,0.57,0.11,27
hairzoid,ascent_stats,22,0.82,0.68,0.00,18
hairzoid,icebox_stats,69,0.52,0.26,0.03,14
hairzoid,lotus_stats,44,0.61,0.30,0.05,15
silv,ascent_stats,20,0.65,0.60,0.10,13
silv,bind_stats,14,0.14,0.29,0.14,2
silv,icebox_stats,46,0.72,0.13,0.11,15
silv,sunset_stats,18,0.56,0.44,0.06,10
LeeN,ascent_stats,40,0.95,0.20,0.23,19
LeeN,icebox_stats,23,0.96,0.09,0.26,22
LeeN,lotus_stats,30,0.67,0.17,0.17,20
LeeN,split_stats,63,0.78,0.17,0.16,21
LeeN,sunset_stats,44,0.75,0.16,0.25,24
Vox,ascent_stats,44,0.98,0.20,0.18,24
Vox,bind_stats,19,0.53,0.05,0.11,10
Vox,icebox_stats,43,0.86,0.09,0.19,23
Vox,sunset_stats,54,0.76,0.13,0.15,20
Luid,ascent_stats,138,0.88,0.22,0.17,22
Luid,bind_stats,88,0.69,0.13,0.15,18
Luid,breeze_stats,21,0.95,0.24,0.05,20
Luid,icebox_stats,149,0.93,0.27,0.15,25
Luid,lotus_stats,116,0.85,0.22,0.10,21
Luid,split_stats,69,0.91,0.22,0.16,26
Luid,sunset_stats,19,1.05,0.26,0.26,20
Gwangboong,ascent_stats,127,0.78,0.20,0.20,22
Gwangboong,bind_stats,58,0.67,0.22,0.12,16
Gwangboong,breeze_stats,75,0.85,0.15,0.17,28
Gwangboong,icebox_stats,54,1.04,0.17,0.26,36
Gwangboong,lotus_stats,77,0.88,0.27,0.23,31
Gwangboong,split_stats,81,0.68,0.15,0.14,17
Gwangboong,sunset_stats,73,0.68,0.27,0.18,17
zeek,ascent_stats,26,0.69,0.65,0.00,18
zeek,bind_stats,179,0.82,0.39,0.12,29
zeek,breeze_stats,60,0.65,0.33,0.03,17
zeek,icebox_stats,99,0.54,0.23,0.05,18
zeek,lotus_stats,112,0.75,0.40,0.07,30
zeek,split_stats,98,0.65,0.18,0.10,20
zeek,sunset_stats,81,0.73,0.52,0.06,17
Tara,ascent_stats,35,0.57,0.40,0.03,13
Tara,bind_stats,14,0.64,0.93,0.00,9
Tara,icebox_stats,31,0.77,0.16,0.10,12
Tara,lotus_stats,83,0.70,0.45,0.07,16
Tara,split_stats,41,0.61,0.44,0.12,15
Tara,sunset_stats,106,0.57,0.42,0.07,13
zery,ascent_stats,180,0.91,0.24,0.18,30
zery,bind_stats,38,0.92,0.16,0.16,25
zery,breeze_stats,64,0.98,0.36,0.20,25
zery,icebox_stats,250,0.85,0.25,0.14,26
zery,split_stats,142,0.77,0.30,0.19,23
zery,sunset_stats,113,0.80,0.27,0.17,27
Scottie,ascent_stats,197,0.81,0.18,0.12,26
Scottie,breeze_stats,74,0.86,0.19,0.12,25
Scottie,icebox_stats,121,0.79,0.29,0.12,24
Scottie,lotus_stats,181,0.78,0.21,0.21,26
Scottie,split_stats,190,0.85,0.27,0.11,36
Scottie,sunset_stats,57,0.74,0.26,0.11,16
basic,ascent_stats,67,0.57,0.48,0.04,14
basic,bind_stats,38,0.71,0.32,0.03,20
basic,icebox_stats,22,0.95,0.18,0.05,21
basic,split_stats,23,0.61,0.35,0.00,14
kenobi,ascent_stats,46,0.74,0.63,0.11,17
kenobi,bind_stats,35,0.54,0.31,0.06,11
kenobi,icebox_stats,20,0.70,0.10,0.15,14
kenobi,lotus_stats,110,0.55,0.32,0.08,14
kenobi,split_stats,68,0.75,0.22,0.04,18
kenobi,sunset_stats,42,0.57,0.33,0.07,12
hi hey hello,ascent_stats,18,0.94,0.11,0.00,17
Myssen,ascent_stats,37,0.62,0.24,0.08,13
Myssen,bind_stats,24,0.67,0.17,0.08,16
Myssen,icebox_stats,22,0.86,0.14,0.05,19
Myssen,lotus_stats,16,0.38,0.38,0.00,6
Myssen,split_stats,20,0.20,0.25,0.10,4
Myssen,sunset_stats,23,0.87,0.35,0.09,20
mkzk,ascent_stats,46,0.78,0.26,0.07,22
mkzk,lotus_stats,44,0.36,0.11,0.07,11
mkzk,split_stats,24,0.67,0.33,0.13,16
NoHelp,ascent_stats,167,0.80,0.29,0.17,26
NoHelp,bind_stats,42,0.71,0.07,0.19,17
NoHelp,breeze_stats,36,0.92,0.17,0.08,18
NoHelp,icebox_stats,23,0.83,0.17,0.26,19
NoHelp,lotus_stats,73,0.82,0.32,0.15,24
NoHelp,split_stats,90,0.52,0.16,0.09,20
aria,ascent_stats,87,0.74,0.59,0.06,16
aria,bind_stats,62,0.66,0.65,0.06,17
aria,icebox_stats,149,0.66,0.28,0.09,16
aria,lotus_stats,196,0.71,0.33,0.19,18
aria,split_stats,86,0.58,0.59,0.06,17
aria,sunset_stats,83,0.72,0.57,0.04,16
Salphy,ascent_stats,22,0.77,0.09,0.27,17
Salphy,bind_stats,21,0.62,0.24,0.00,13
FrostyZ,ascent_stats,46,0.93,0.07,0.15,24
FrostyZ,breeze_stats,19,0.84,0.11,0.21,16
FrostyZ,icebox_stats,17,0.88,0.29,0.18,15
FrostyZ,lotus_stats,40,0.58,0.18,0.05,13
FrostyZ,split_stats,16,0.25,0.19,0.13,4
Gdzin,ascent_stats,92,0.96,0.16,0.28,24
Gdzin,bind_stats,24,0.71,0.38,0.08,17
Gdzin,icebox_stats,68,1.04,0.18,0.26,29
Gdzin,lotus_stats,59,1.25,0.19,0.19,30
Gdzin,sunset_stats,23,0.48,0.30,0.09,11
TeddyIsFluffy,ascent_stats,41,0.68,0.49,0.10,17
TeddyIsFluffy,bind_stats,159,0.81,0.40,0.03,21
TeddyIsFluffy,breeze_stats,19,0.79,0.11,0.05,15
TeddyIsFluffy,icebox_stats,104,0.67,0.26,0.07,17
TeddyIsFluffy,lotus_stats,40,0.55,0.25,0.08,11
TeddyIsFluffy,split_stats,38,0.76,0.34,0.03,16
TeddyIsFluffy,sunset_stats,31,0.52,0.29,0.03,11
syyse,ascent_stats,63,0.86,0.17,0.08,20
syyse,bind_stats,45,0.87,0.16,0.11,23
syyse,icebox_stats,24,0.92,0.08,0.08,22
syyse,split_stats,45,0.62,0.18,0.04,17
syyse,sunset_stats,39,0.59,0.26,0.05,12
car,ascent_stats,130,0.87,0.17,0.28,22
car,bind_stats,113,0.83,0.23,0.20,21
car,breeze_stats,60,0.70,0.22,0.12,19
car,icebox_stats,246,1.04,0.17,0.20,40
car,lotus_stats,191,0.97,0.22,0.19,30
car,sunset_stats,217,0.91,0.22,0.28,26
lazylion,ascent_stats,154,0.70,0.49,0.09,19
lazylion,bind_stats,154,0.80,0.28,0.09,21
lazylion,breeze_stats,41,0.71,0.20,0.20,15
lazylion,icebox_stats,132,0.97,0.22,0.11,23
lazylion,lotus_stats,152,0.82,0.27,0.11,27
lazylion,split_stats,89,0.82,0.29,0.17,19
lazylion,sunset_stats,103,0.91,0.45,0.07,22
rlzy,ascent_stats,19,0.79,0.11,0.11,15
adverso,ascent_stats,160,0.81,0.35,0.11,20
adverso,bind_stats,36,0.61,0.56,0.11,13
adverso,breeze_stats,40,0.63,0.23,0.08,18
adverso,icebox_stats,24,0.71,0.29,0.08,17
adverso,lotus_stats,37,0.62,0.38,0.08,14
adverso,split_stats,118,0.69,0.32,0.17,18
adverso,sunset_stats,79,0.82,0.30,0.14,25
Shak0w,ascent_stats,119,0.74,0.42,0.04,23
Shak0w,bind_stats,38,0.61,0.37,0.05,15
Shak0w,breeze_stats,109,0.74,0.30,0.12,27
Shak0w,icebox_stats,67,0.72,0.30,0.07,18
Shak0w,lotus_stats,86,1.08,0.37,0.12,38
Shak0w,split_stats,70,0.86,0.41,0.10,22
Shak0w,sunset_stats,137,0.77,0.36,0.07,26
Cunha20,ascent_stats,133,0.80,0.50,0.08,23
Cunha20,bind_stats,62,0.87,0.61,0.08,20
Cunha20,icebox_stats,96,0.76,0.29,0.09,18
Cunha20,split_stats,26,0.88,0.12,0.19,23
Cunha20,sunset_stats,40,0.85,0.50,0.05,22
arch,ascent_stats,89,0.78,0.28,0.08,20
arch,bind_stats,75,0.53,0.28,0.03,18
arch,breeze_stats,111,0.66,0.29,0.09,20
arch,icebox_stats,20,0.60,0.40,0.05,12
arch,lotus_stats,54,0.56,0.41,0.04,12
arch,split_stats,24,0.58,0.33,0.04,14
arch,sunset_stats,95,0.55,0.32,0.09,16
GON,ascent_stats,113,0.69,0.50,0.08,23
GON,bind_stats,54,0.54,0.28,0.04,18
GON,breeze_stats,88,0.72,0.35,0.07,37
GON,icebox_stats,105,0.82,0.28,0.10,26
GON,lotus_stats,71,0.65,0.44,0.08,18
GON,split_stats,90,0.60,0.48,0.06,17
GON,sunset_stats,117,0.71,0.44,0.03,20
snw,ascent_stats,135,0.90,0.18,0.24,28
snw,bind_stats,20,1.00,0.15,0.25,20
snw,breeze_stats,45,1.04,0.09,0.29,28
snw,icebox_stats,76,0.96,0.16,0.37,23
snw,lotus_stats,101,0.72,0.23,0.19,19
snw,sunset_stats,24,0.88,0.17,0.21,21
Kace,ascent_stats,21,0.67,0.67,0.10,14
Kace,bind_stats,43,0.53,0.47,0.05,14
Kace,icebox_stats,15,0.27,0.13,0.07,4
Chiefu,ascent_stats,87,0.72,0.40,0.07,22
Chiefu,bind_stats,203,0.61,0.39,0.05,23
Chiefu,breeze_stats,117,0.77,0.32,0.07,22
Chiefu,icebox_stats,14,0.36,0.36,0.14,5
Chiefu,lotus_stats,172,0.44,0.33,0.04,12
Chiefu,split_stats,15,0.53,0.07,0.07,8
Chiefu,sunset_stats,53,0.55,0.49,0.04,13
Loupiote,ascent_stats,76,0.70,0.43,0.08,18
Loupiote,bind_stats,63,0.54,0.29,0.06,15
Loupiote,breeze_stats,43,0.51,0.26,0.12,12
Loupiote,icebox_stats,45,0.58,0.20,0.04,15
Loupiote,lotus_stats,100,0.67,0.49,0.06,20
Loupiote,sunset_stats,79,0.57,0.19,0.05,18
Rossy,ascent_stats,85,0.79,0.44,0.08,20
Rossy,bind_stats,92,0.76,0.32,0.09,20
Rossy,breeze_stats,56,0.45,0.25,0.04,16
Rossy,lotus_stats,144,0.69,0.40,0.10,18
Rossy,split_stats,48,0.67,0.25,0.04,23
Rossy,sunset_stats,67,0.70,0.45,0.09,22
