Player,RND,KPR,APR,FKPR,KMAX
Loweed,13,1.46,0.23,0.15,19
machuchutrain,15,1.67,0.67,0.07,25
"Bad
Reve",16,1.44,0.44,0.19,23
"SamechadeuS
BD",18,1.28,0.44,0.06,23
"d3mur
YARI",18,1.39,0.39,0.17,25
BRU,14,1.21,0.29,0.14,17
ensena,38,1.32,0.13,0.37,29
ivy,13,1.46,0.15,0.23,19
"faniehehe
NE",16,1.19,0.31,0.19,19
belga,13,1.31,0.38,0.23,17
"Miku
FSX",34,1.41,0.26,0.44,26
Ache,17,1.29,0.24,0.35,22
ako,26,1.27,0.38,0.15,33
"Healing
DRX.C",17,1.18,0.53,0.06,20
Infinity,13,0.85,0.77,0.08,11
"suzu
FL.GC",15,1.40,0.27,0.53,21
"misty
BCGF",15,1.40,0.27,0.20,21
landzin,13,1.08,0.31,0.23,14
Moco,15,1.13,0.53,0.20,17
Kayla,38,1.34,0.24,0.13,29
Mami,13,1.15,0.46,0.23,15
"DREAM
CG.GC",56,1.25,0.50,0.04,28
viyuu,15,0.87,0.73,0.00,13
Muchi,23,1.35,0.26,0.13,31
Toga,38,1.24,0.26,0.16,24
darkz,18,1.11,0.22,0.22,20
mrwonton,17,1.29,0.29,0.18,22
kikowo,19,1.42,0.21,0.16,27
uy si idol,16,1.19,0.38,0.13,19
"tixx
JJH",15,1.27,0.47,0.20,19
Headzera,23,1.30,0.13,0.26,30
tora,16,1.13,0.44,0.19,18
"Breinholt
BFG",50,1.28,0.24,0.32,23
Joy,39,1.13,0.15,0.15,24
"Ronin
New",19,1.21,0.37,0.11,23
Salth,13,0.85,0.85,0.08,11
April,15,1.20,0.07,0.13,18
"Evi
Atla",37,1.05,0.51,0.24,20
"Gdzin
KG",59,1.25,0.19,0.19,30
"eluwu
MLT.GC",21,1.29,0.19,0.05,27
"nanno
PRG",41,1.32,0.15,0.27,27
nom,19,1.26,0.05,0.26,24
"eyan
LR",48,1.31,0.27,0.21,37
bray,16,1.06,0.56,0.00,17
"Waken
YARI",18,1.00,0.50,0.17,18
zafe,18,1.06,0.39,0.00,19
"nTK
BAAM",17,1.12,0.35,0.12,19
"memi
KS",15,0.80,0.20,0.13,12
FluffsKitty,35,0.94,0.40,0.06,20
"Aya
DFM.GC",18,1.11,0.17,0.11,20
"Vania
G2.G",40,1.05,0.58,0.08,25
"lunah
ARI",21,1.19,0.71,0.19,25
"aspas
LEV",58,1.16,0.22,0.19,47
"Sayonara
KPI",16,1.19,0.44,0.13,19
Dino,35,1.06,0.46,0.06,30
mingus,19,1.21,0.16,0.32,23
"Blossi
aTTaX",17,1.12,0.35,0.18,19
valentina,24,1.13,0.04,0.21,27
"jjjoshy
RE",21,1.14,0.10,0.10,24
Sez,56,1.41,0.14,0.36,38
angelq,19,1.05,0.32,0.11,20
"Mady
SaD",16,1.13,0.19,0.06,18
"MayaMeow
CEL",51,0.94,0.55,0.08,20
"GuterWoman
SKC.Q",59,0.97,0.24,0.17,20
"Ames
C4C",42,0.93,0.38,0.12,20
Jade,17,1.00,0.47,0.06,17
J1N,21,1.14,0.14,0.10,24
Duuuda,16,0.63,0.69,0.00,10
Krad,21,1.05,0.29,0.19,22
"Meloxy
Tama",22,1.09,0.27,0.00,24
"Jayz
KG",16,0.94,0.50,0.00,15
"R1zen
Deat",26,1.00,0.54,0.00,26
"nekop4nchan
BD",18,1.00,0.39,0.33,18
"B1SK
KPI",16,0.94,0.56,0.06,15
