id,user,ascent_stats,bind_stats,breeze_stats,icebox_stats,lotus_stats,split_stats,sunset_stats
3169,Zap,"{'RND': '86', 'KPR': '0.58', 'APR': '0.15', 'FKPR': '0.06', 'KMAX': '18'}","{'RND': '41', 'KPR': '0.73', 'APR': '0.22', 'FKPR': '0.07', 'KMAX': '18'}","{'RND': '24', 'KPR': '1.00', 'APR': '0.21', 'FKPR': '0.08', 'KMAX': '24'}","{'RND': '85', 'KPR': '0.61', 'APR': '0.08', 'FKPR': '0.02', 'KMAX': '19'}","{'RND': '122', 'KPR': '0.66', 'APR': '0.13', 'FKPR': '0.10', 'KMAX': '30'}","{'RND': '86', 'KPR': '0.73', 'APR': '0.36', 'FKPR': '0.10', 'KMAX': '21'}","{'RND': '78', 'KPR': '0.44', 'APR': '0.32', 'FKPR': '0.03', 'KMAX': '14'}"
662,pryze,"{'RND': '86', 'KPR': '0.62', 'APR': '0.44', 'FKPR': '0.06', 'KMAX': '13'}","{'RND': '41', 'KPR': '0.73', 'APR': '0.54', 'FKPR': '0.05', 'KMAX': '18'}","{'RND': '24', 'KPR': '0.38', 'APR': '0.21', 'FKPR': '0.08', 'KMAX': '9'}","{'RND': '85', 'KPR': '0.45', 'APR': '0.25', 'FKPR': '0.06', 'KMAX': '15'}","{'RND': '122', 'KPR': '0.75', 'APR': '0.34', 'FKPR': '0.03', 'KMAX': '22'}","{'RND': '86', 'KPR': '0.84', 'APR': '0.35', 'FKPR': '0.12', 'KMAX': '22'}","{'RND': '78', 'KPR': '0.71', 'APR': '0.40', 'FKPR': '0.04', 'KMAX': '23'}"
6195,lz,"{'RND': '86', 'KPR': '0.78', 'APR': '0.42', 'FKPR': '0.10', 'KMAX': '18'}","{'RND': '41', 'KPR': '1.07', 'APR': '0.37', 'FKPR': '0.20', 'KMAX': '24'}","{'RND': '24', 'KPR': '0.50', 'APR': '0.04', 'FKPR': '0.08', 'KMAX': '12'}","{'RND': '85', 'KPR': '0.79', 'APR': '0.24', 'FKPR': '0.12', 'KMAX': '20'}","{'RND': '122', 'KPR': '0.58', 'APR': '0.28', 'FKPR': '0.08', 'KMAX': '16'}","{'RND': '86', 'KPR': '0.63', 'APR': '0.34', 'FKPR': '0.06', 'KMAX': '16'}","{'RND': '78', 'KPR': '0.53', 'APR': '0.32', 'FKPR': '0.01', 'KMAX': '14'}"
21661,spike,"{'RND': '86', 'KPR': '0.60', 'APR': '0.64', 'FKPR': '0.05', 'KMAX': '15'}","{'RND': '41', 'KPR': '0.61', 'APR': '0.39', 'FKPR': '0.07', 'KMAX': '14'}","{'RND': '24', 'KPR': '0.79', 'APR': '0.13', 'FKPR': '0.04', 'KMAX': '19'}","{'RND': '85', 'KPR': '0.86', 'APR': '0.27', 'FKPR': '0.05', 'KMAX': '24'}","{'RND': '122', 'KPR': '0.74', 'APR': '0.27', 'FKPR': '0.14', 'KMAX': '20'}","{'RND': '86', 'KPR': '0.84', 'APR': '0.35', 'FKPR': '0.07', 'KMAX': '20'}","{'RND': '78', 'KPR': '0.69', 'APR': '0.33', 'FKPR': '0.06', 'KMAX': '20'}"
11921,silentzz,"{'RND': '86', 'KPR': '1.00', 'APR': '0.10', 'FKPR': '0.22', 'KMAX': '30'}","{'RND': '41', 'KPR': '0.76', 'APR': '0.24', 'FKPR': '0.20', 'KMAX': '17'}","{'RND': '24', 'KPR': '0.75', 'APR': '0.08', 'FKPR': '0.21', 'KMAX': '18'}","{'RND': '85', 'KPR': '0.99', 'APR': '0.12', 'FKPR': '0.31', 'KMAX': '25'}","{'RND': '122', 'KPR': '0.63', 'APR': '0.13', 'FKPR': '0.17', 'KMAX': '24'}","{'RND': '86', 'KPR': '0.88', 'APR': '0.20', 'FKPR': '0.24', 'KMAX': '22'}","{'RND': '78', 'KPR': '0.82', 'APR': '0.10', 'FKPR': '0.23', 'KMAX': '28'}"
3455,Zanatsu,"{'RND': '135', 'KPR': '0.88', 'APR': '0.12', 'FKPR': '0.28', 'KMAX': '26'}","{'RND': '58', 'KPR': '0.66', 'APR': '0.22', 'FKPR': '0.17', 'KMAX': '19'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '82', 'KPR': '1.02', 'APR': '0.16', 'FKPR': '0.22', 'KMAX': '29'}","{'RND': '109', 'KPR': '0.89', 'APR': '0.26', 'FKPR': '0.20', 'KMAX': '27'}","{'RND': '43', 'KPR': '0.65', 'APR': '0.37', 'FKPR': '0.28', 'KMAX': '15'}","{'RND': '58', 'KPR': '1.03', 'APR': '0.28', 'FKPR': '0.24', 'KMAX': '25'}"
5395,cortezia,"{'RND': '135', 'KPR': '0.77', 'APR': '0.47', 'FKPR': '0.04', 'KMAX': '22'}","{'RND': '58', 'KPR': '0.81', 'APR': '0.41', 'FKPR': '0.07', 'KMAX': '20'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '82', 'KPR': '0.78', 'APR': '0.23', 'FKPR': '0.10', 'KMAX': '22'}","{'RND': '109', 'KPR': '0.69', 'APR': '0.50', 'FKPR': '0.12', 'KMAX': '21'}","{'RND': '43', 'KPR': '0.72', 'APR': '0.40', 'FKPR': '0.00', 'KMAX': '17'}","{'RND': '58', 'KPR': '0.76', 'APR': '0.36', 'FKPR': '0.10', 'KMAX': '17'}"
1586,v1nny,"{'RND': '135', 'KPR': '0.63', 'APR': '0.47', 'FKPR': '0.07', 'KMAX': '20'}","{'RND': '58', 'KPR': '0.79', 'APR': '0.33', 'FKPR': '0.09', 'KMAX': '21'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '82', 'KPR': '0.61', 'APR': '0.24', 'FKPR': '0.07', 'KMAX': '18'}","{'RND': '109', 'KPR': '0.91', 'APR': '0.33', 'FKPR': '0.07', 'KMAX': '24'}","{'RND': '43', 'KPR': '0.93', 'APR': '0.12', 'FKPR': '0.09', 'KMAX': '21'}","{'RND': '58', 'KPR': '0.53', 'APR': '0.17', 'FKPR': '0.05', 'KMAX': '12'}"
3433,CTC,"{'RND': '135', 'KPR': '0.64', 'APR': '0.15', 'FKPR': '0.07', 'KMAX': '22'}","{'RND': '58', 'KPR': '0.59', 'APR': '0.17', 'FKPR': '0.07', 'KMAX': '14'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '82', 'KPR': '0.74', 'APR': '0.17', 'FKPR': '0.05', 'KMAX': '18'}","{'RND': '109', 'KPR': '0.57', 'APR': '0.23', 'FKPR': '0.07', 'KMAX': '15'}","{'RND': '43', 'KPR': '0.77', 'APR': '0.21', 'FKPR': '0.09', 'KMAX': '22'}","{'RND': '58', 'KPR': '0.60', 'APR': '0.22', 'FKPR': '0.03', 'KMAX': '15'}"
3157,gaabxx,"{'RND': '135', 'KPR': '0.68', 'APR': '0.27', 'FKPR': '0.04', 'KMAX': '21'}","{'RND': '58', 'KPR': '0.41', 'APR': '0.26', 'FKPR': '0.05', 'KMAX': '9'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '82', 'KPR': '0.41', 'APR': '0.27', 'FKPR': '0.05', 'KMAX': '12'}","{'RND': '109', 'KPR': '0.61', 'APR': '0.36', 'FKPR': '0.11', 'KMAX': '17'}","{'RND': '43', 'KPR': '0.72', 'APR': '0.40', 'FKPR': '0.21', 'KMAX': '17'}","{'RND': '58', 'KPR': '0.81', 'APR': '0.28', 'FKPR': '0.09', 'KMAX': '19'}"
