,,RND,KPR,APR,FKPR,KMAX
Melser,icebox_stats,43,0.58,0.30,0.12,13
Melser,lotus_stats,20,0.75,0.25,0.05,15
Melser,split_stats,42,0.45,0.36,0.02,11
Melser,sunset_stats,42,0.62,0.07,0.12,15
klaudia,ascent_stats,58,0.91,0.71,0.09,22
klaudia,bind_stats,26,0.92,0.62,0.08,24
klaudia,breeze_stats,24,0.92,0.75,0.17,22
klaudia,icebox_stats,76,0.68,0.59,0.08,17
klaudia,lotus_stats,46,0.70,0.59,0.07,21
klaudia,split_stats,64,0.61,0.55,0.05,15
klaudia,sunset_stats,19,0.47,0.47,0.00,9
AvovA,ascent_stats,31,0.87,0.35,0.06,14
AvovA,bind_stats,22,0.86,0.23,0.09,19
AvovA,breeze_stats,19,0.42,0.32,0.00,8
AvovA,icebox_stats,58,0.84,0.16,0.14,19
AvovA,lotus_stats,62,0.68,0.40,0.02,16
AvovA,sunset_stats,95,0.79,0.39,0.08,21
SemberN,ascent_stats,36,1.03,0.28,0.11,23
SemberN,breeze_stats,23,0.96,0.26,0.04,22
SemberN,icebox_stats,47,0.49,0.28,0.04,12
SemberN,lotus_stats,22,0.73,0.14,0.05,16
SemberN,sunset_stats,56,0.82,0.16,0.07,23
peace,ascent_stats,18,1.11,1.06,0.11,20
peace,bind_stats,42,0.64,0.36,0.02,18
peace,icebox_stats,19,1.21,0.11,0.32,23
peace,lotus_stats,122,0.80,0.41,0.11,24
peace,split_stats,66,0.55,0.47,0.03,16
BLOD,ascent_stats,23,0.91,0.74,0.04,21
BLOD,bind_stats,15,0.40,0.13,0.07,6
BLOD,breeze_stats,17,0.53,0.35,0.06,9
BLOD,icebox_stats,130,0.87,0.29,0.18,25
BLOD,lotus_stats,55,0.47,0.33,0.05,14
BLOD,split_stats,21,0.71,0.33,0.24,15
Cryocells,ascent_stats,19,1.16,0.32,0.32,22
Cryocells,bind_stats,42,0.86,0.48,0.07,18
Cryocells,icebox_stats,23,1.13,0.09,0.30,26
Cryocells,split_stats,40,0.75,0.20,0.10,16
stew,ascent_stats,18,0.56,0.17,,10
stew,bind_stats,66,0.83,0.29,,20
stew,breeze_stats,20,0.45,0.15,,9
stew,icebox_stats,44,0.91,0.16,,26
stew,lotus_stats,23,0.65,0.22,,15
stew,split_stats,24,0.92,0.08,,22
KIMB0,ascent_stats,17,0.94,0.12,0.12,16
KIMB0,bind_stats,44,0.61,0.18,0.09,18
KIMB0,split_stats,24,0.79,0.21,0.04,19
KIMB0,sunset_stats,21,0.67,0.24,0.19,14
Ayanami,ascent_stats,24,1.21,0.29,0.17,29
Ayanami,lotus_stats,20,0.85,0.35,0.05,17
Ayanami,split_stats,44,0.52,0.20,0.07,14
Ayanami,sunset_stats,23,0.57,0.09,0.13,13
Flonson,ascent_stats,24,0.88,0.33,0.00,21
Flonson,sunset_stats,38,0.11,0.11,0.00,2
atlas,ascent_stats,20,1.20,0.30,0.10,24
showliana,ascent_stats,16,0.88,0.38,0.06,14
showliana,bind_stats,22,0.82,0.32,0.14,18
showliana,lotus_stats,64,0.63,0.28,0.13,20
showliana,sunset_stats,70,0.81,0.59,0.13,23
Asuna,ascent_stats,19,0.74,1.21,0.00,14
Asuna,bind_stats,42,0.76,0.21,0.19,22
Asuna,icebox_stats,23,0.48,0.26,0.09,11
Asuna,split_stats,40,0.93,0.20,0.23,21
Kawaii2k,ascent_stats,20,1.15,0.25,0.10,23
Kawaii2k,icebox_stats,18,0.89,0.11,0.00,16
Kawaii2k,split_stats,18,0.72,0.50,0.06,13
nicky,ascent_stats,22,0.86,0.55,0.09,19
nicky,bind_stats,22,1.09,0.18,0.09,24
nicky,breeze_stats,59,0.78,0.34,0.05,23
nicky,icebox_stats,28,0.32,0.32,0.07,9
nicky,lotus_stats,68,0.51,0.44,0.06,12
nicky,split_stats,19,0.47,0.42,0.05,9
nicky,sunset_stats,39,0.64,0.33,0.08,18
gobera,ascent_stats,45,1.24,0.13,0.27,30
gobera,bind_stats,42,0.69,0.14,0.12,15
gobera,breeze_stats,60,0.73,0.17,0.17,19
gobera,icebox_stats,49,0.82,0.18,0.16,30
gobera,lotus_stats,92,0.89,0.23,0.23,26
gobera,split_stats,40,0.68,0.13,0.15,14
gobera,sunset_stats,83,0.80,0.22,0.16,23
maniek,ascent_stats,23,1.13,0.04,0.30,26
maniek,icebox_stats,17,0.53,0.06,0.18,9
maniek,lotus_stats,24,1.08,0.17,0.13,26
maniek,split_stats,45,0.73,0.13,0.20,19
maniek,sunset_stats,38,0.76,0.13,0.21,20
Sadeem,ascent_stats,23,0.96,0.26,0.04,22
Sadeem,bind_stats,31,0.45,0.10,0.03,7
Sadeem,breeze_stats,17,0.41,0.06,0.00,7
Sadeem,icebox_stats,130,0.71,0.26,0.08,21
Sadeem,lotus_stats,55,0.69,0.07,0.07,25
Sadeem,split_stats,21,1.19,0.19,0.05,25
R4M,ascent_stats,19,0.89,0.47,0.05,17
R4M,breeze_stats,17,0.35,0.47,0.00,6
R4M,icebox_stats,23,0.57,0.26,0.04,13
R4M,lotus_stats,47,0.85,0.36,0.06,21
R4M,split_stats,20,0.55,0.35,0.00,11
Khosoko,ascent_stats,24,1.33,0.21,0.21,32
Khosoko,bind_stats,18,0.72,0.44,0.22,13
Khosoko,split_stats,18,0.89,0.22,0.00,16
Khosoko,sunset_stats,37,1.11,0.24,0.19,25
Asce,ascent_stats,20,0.85,0.55,0.00,17
Asce,bind_stats,19,0.68,0.16,0.11,13
Asce,lotus_stats,18,0.39,0.11,0.06,7
Alexy,ascent_stats,22,1.32,0.14,0.27,29
Alexy,bind_stats,14,1.50,0.21,0.36,21
Alexy,icebox_stats,31,1.03,0.03,0.26,18
Alexy,lotus_stats,33,0.97,0.30,0.15,19
Alexy,split_stats,22,1.00,0.18,0.14,22
Alexy,sunset_stats,59,0.75,0.37,0.15,18
niffy,ascent_stats,22,1.14,0.14,0.05,25
niffy,bind_stats,18,0.89,0.17,0.22,16
niffy,breeze_stats,18,0.22,0.11,0.11,4
niffy,icebox_stats,19,0.84,0.26,0.32,16
niffy,lotus_stats,59,0.90,0.17,0.17,30
niffy,split_stats,23,1.09,0.30,0.13,25
kivary,ascent_stats,17,1.12,0.06,0.29,19
kivary,bind_stats,44,0.95,0.16,0.27,21
kivary,split_stats,24,0.50,0.21,0.21,12
kivary,sunset_stats,21,0.67,0.10,0.10,14
Hotsauz,ascent_stats,21,1.14,0.24,0.14,24
Hotsauz,breeze_stats,16,0.75,0.19,0.00,12
Hotsauz,split_stats,21,0.48,0.19,0.00,10
Hotsauz,sunset_stats,19,0.53,0.26,0.21,10
shiloh,ascent_stats,20,1.20,0.10,0.10,24
natty,ascent_stats,17,1.24,0.06,0.24,21
natty,bind_stats,18,1.06,0.22,0.22,19
natty,sunset_stats,16,0.75,0.06,0.19,12
azoh,ascent_stats,21,0.76,0.29,0.19,16
azoh,bind_stats,64,0.58,0.52,0.03,13
azoh,icebox_stats,20,0.40,0.05,0.00,8
azoh,lotus_stats,44,0.48,0.50,0.02,13
azoh,split_stats,20,0.35,0.50,0.05,7
azoh,sunset_stats,26,0.65,0.15,0.00,17
bang,ascent_stats,19,1.11,0.37,0.11,21
bang,bind_stats,42,0.76,0.29,0.10,17
bang,icebox_stats,23,0.74,0.48,0.09,17
bang,split_stats,40,0.65,0.45,0.10,14
Turko,ascent_stats,41,1.15,0.15,0.27,25
Turko,bind_stats,54,0.78,0.28,0.07,23
Turko,icebox_stats,19,0.63,0.11,0.05,12
Turko,lotus_stats,91,0.77,0.21,0.07,25
Turko,split_stats,80,0.70,0.23,0.13,20
Turko,sunset_stats,23,0.91,0.26,0.13,21
Jesse,ascent_stats,42,0.93,0.50,0.17,24
Jesse,bind_stats,39,0.87,0.23,0.08,20
Jesse,breeze_stats,43,0.70,0.23,0.09,17
Jesse,lotus_stats,46,0.78,0.30,0.09,19
Jesse,sunset_stats,37,0.76,0.22,0.08,16
mavenqt,ascent_stats,23,1.00,0.09,0.35,23
mavenqt,bind_stats,41,0.56,0.46,0.12,16
mavenqt,lotus_stats,17,0.53,0.24,0.18,9
mavenqt,split_stats,19,0.37,0.21,0.05,7
Monokuma,ascent_stats,23,1.00,0.26,0.22,23
Monokuma,bind_stats,18,0.83,0.17,0.28,15
Monokuma,icebox_stats,47,1.02,0.11,0.21,25
Monokuma,lotus_stats,23,1.22,0.26,0.26,28
tokameite,ascent_stats,55,0.93,0.40,0.09,19
tokameite,bind_stats,30,0.83,0.50,0.00,25
tokameite,breeze_stats,34,1.15,0.38,0.09,39
tokameite,icebox_stats,17,0.82,0.24,0.00,14
tokameite,lotus_stats,44,0.80,0.36,0.16,24
tokameite,split_stats,41,0.51,0.51,0.05,13
Equa,ascent_stats,23,0.87,0.30,0.17,20
Equa,bind_stats,41,0.61,0.44,0.05,13
Equa,lotus_stats,17,0.41,0.06,0.12,7
Equa,split_stats,19,0.63,0.05,0.05,12
FETA,ascent_stats,20,1.10,0.25,0.30,22
FETA,breeze_stats,23,0.78,0.17,0.09,18
FETA,icebox_stats,77,0.88,0.10,0.18,33
FETA,lotus_stats,44,0.91,0.11,0.32,29
