,,RND,KPR,APR,FKPR,KMAX
RizoN,bind_stats,37,0.73,0.32,0.11,18
RizoN,breeze_stats,128,0.74,0.15,0.12,34
RizoN,icebox_stats,160,0.68,0.33,0.10,24
RizoN,lotus_stats,203,0.73,0.18,0.15,23
RizoN,split_stats,67,0.81,0.22,0.16,22
RizoN,sunset_stats,118,0.82,0.31,0.09,25
Luc1d,ascent_stats,24,0.83,0.04,0.21,20
Luc1d,bind_stats,19,0.53,0.05,0.16,10
Luc1d,icebox_stats,23,0.74,0.13,0.13,17
Luc1d,lotus_stats,38,0.63,0.03,0.03,15
Luc1d,sunset_stats,16,0.31,0.00,0.00,5
GangPin,ascent_stats,21,0.71,0.43,0.10,15
GangPin,bind_stats,34,0.62,0.35,0.03,21
GangPin,breeze_stats,60,0.47,0.43,0.03,18
GangPin,icebox_stats,57,0.74,0.35,0.04,20
GangPin,lotus_stats,95,0.65,0.45,0.06,19
GangPin,sunset_stats,37,0.51,0.27,0.08,11
Kuro,ascent_stats,43,0.77,0.26,0.14,19
Kuro,bind_stats,26,0.73,0.50,0.19,19
Kuro,breeze_stats,43,0.37,0.30,0.02,9
Kuro,icebox_stats,23,0.35,0.17,0.00,8
Kuro,lotus_stats,152,0.62,0.41,0.05,20
Kuro,split_stats,96,0.48,0.36,0.04,18
Kuro,sunset_stats,92,0.57,0.30,0.08,16
alannn,ascent_stats,67,0.82,0.22,0.04,26
alannn,bind_stats,24,0.63,0.13,0.13,15
alannn,breeze_stats,43,0.67,0.16,0.09,23
alannn,icebox_stats,16,0.69,0.19,0.19,11
alannn,lotus_stats,58,0.91,0.09,0.12,41
alannn,split_stats,53,0.58,0.32,0.00,12
alannn,sunset_stats,34,1.00,0.38,0.24,19
d0rf,ascent_stats,17,0.76,0.41,0.06,13
d0rf,bind_stats,80,0.56,0.38,0.05,16
d0rf,breeze_stats,34,0.47,0.15,0.00,9
d0rf,icebox_stats,61,0.44,0.10,0.07,13
d0rf,lotus_stats,21,0.57,0.43,0.10,12
d0rf,sunset_stats,17,0.65,0.35,0.06,11
Neon,ascent_stats,111,0.78,0.13,0.24,22
Neon,bind_stats,87,0.71,0.24,0.09,27
Neon,icebox_stats,23,1.00,0.39,0.17,23
Neon,lotus_stats,80,0.76,0.19,0.26,19
Neon,split_stats,17,0.41,0.18,0.12,7
Neon,sunset_stats,60,0.75,0.20,0.18,17
xann,ascent_stats,90,0.93,0.19,0.26,28
xann,bind_stats,19,0.58,0.11,0.16,11
xann,breeze_stats,40,0.80,0.25,0.23,22
xann,icebox_stats,78,0.96,0.22,0.22,28
xann,lotus_stats,48,0.96,0.25,0.21,26
xann,split_stats,34,0.35,0.15,0.09,8
xann,sunset_stats,108,0.77,0.24,0.25,23
zenox,ascent_stats,21,1.00,0.14,0.19,21
zenox,bind_stats,64,0.88,0.28,0.13,24
zenox,icebox_stats,20,1.00,0.05,0.30,20
zenox,lotus_stats,44,1.00,0.23,0.16,24
zenox,split_stats,20,0.60,0.20,0.05,12
zenox,sunset_stats,26,0.81,0.23,0.23,21
DaFt,ascent_stats,58,0.79,0.22,0.14,20
DaFt,bind_stats,47,0.98,0.23,0.11,26
DaFt,breeze_stats,16,0.50,0.38,0.13,8
DaFt,icebox_stats,23,0.70,0.22,0.13,16
DaFt,lotus_stats,18,0.89,0.06,0.28,16
DaFt,sunset_stats,77,0.66,0.26,0.19,17
lenne,ascent_stats,21,0.71,0.24,0.10,15
lenne,lotus_stats,24,0.46,0.58,0.04,11
smiley,ascent_stats,56,0.61,0.59,0.00,14
smiley,bind_stats,44,0.93,0.34,0.09,27
smiley,breeze_stats,23,0.65,0.70,0.00,15
smiley,icebox_stats,93,0.62,0.43,0.08,15
smiley,lotus_stats,99,0.84,0.43,0.03,20
smiley,split_stats,61,0.79,0.66,0.10,19
smiley,sunset_stats,92,0.78,0.58,0.03,19
binjo,ascent_stats,24,0.88,0.17,0.04,21
binjo,bind_stats,15,0.53,0.20,0.00,8
binjo,split_stats,24,0.96,0.13,0.17,23
jas0n,ascent_stats,60,0.73,0.17,0.18,16
jas0n,bind_stats,14,0.50,0.14,0.07,7
jas0n,breeze_stats,15,0.53,0.00,0.20,8
jas0n,icebox_stats,93,0.63,0.10,0.08,18
jas0n,lotus_stats,46,0.52,0.15,0.09,14
jas0n,split_stats,47,0.47,0.17,0.06,15
shiio,ascent_stats,20,0.70,0.30,0.10,14
shiio,lotus_stats,20,0.50,0.10,0.10,10
trexx,ascent_stats,20,0.75,0.50,0.10,15
trexx,bind_stats,22,0.59,0.41,0.05,13
trexx,breeze_stats,22,0.82,0.32,0.14,18
trexx,icebox_stats,62,0.74,0.76,0.10,21
trexx,lotus_stats,17,0.35,0.47,0.06,6
trexx,sunset_stats,64,0.56,0.41,0.09,19
adverso,ascent_stats,116,0.83,0.30,0.14,20
adverso,bind_stats,20,0.45,0.55,0.10,9
adverso,breeze_stats,40,0.63,0.23,0.08,18
adverso,icebox_stats,24,0.71,0.29,0.08,17
adverso,lotus_stats,37,0.62,0.38,0.08,14
adverso,split_stats,118,0.69,0.32,0.17,18
adverso,sunset_stats,39,0.64,0.31,0.08,16
al0rante,ascent_stats,23,0.70,0.09,0.00,16
al0rante,bind_stats,87,0.64,0.30,0.06,19
al0rante,breeze_stats,26,0.81,0.12,0.04,21
al0rante,lotus_stats,51,0.57,0.25,0.06,18
al0rante,split_stats,62,0.81,0.37,0.10,19
al0rante,sunset_stats,33,0.85,0.12,0.15,17
teeson,ascent_stats,23,0.87,0.39,0.17,20
teeson,breeze_stats,22,0.59,0.32,0.09,13
KROSTALY,ascent_stats,23,0.70,0.61,0.09,16
KROSTALY,lotus_stats,18,0.72,0.22,0.06,13
KROSTALY,split_stats,30,0.57,0.10,0.20,17
Natalcia,ascent_stats,41,0.76,0.10,0.07,17
Natalcia,bind_stats,42,0.60,0.31,0.07,18
Natalcia,icebox_stats,21,0.81,0.24,0.05,17
Natalcia,lotus_stats,45,0.87,0.22,0.09,21
Natalcia,split_stats,15,0.53,0.27,0.07,8
Natalcia,sunset_stats,20,0.90,0.15,0.15,18
Vorwenn,ascent_stats,23,0.78,0.22,0.13,18
Vorwenn,icebox_stats,17,1.00,0.35,0.06,17
Vorwenn,lotus_stats,24,0.46,0.38,0.00,11
Vorwenn,split_stats,45,0.53,0.36,0.02,12
Vorwenn,sunset_stats,38,0.39,0.50,0.05,12
W1nner,ascent_stats,78,0.72,0.26,0.08,22
W1nner,breeze_stats,23,0.43,0.39,0.13,10
W1nner,icebox_stats,67,0.79,0.12,0.15,23
W1nner,lotus_stats,112,0.79,0.12,0.17,28
W1nner,split_stats,44,0.70,0.18,0.09,19
W1nner,sunset_stats,44,0.64,0.20,0.02,15
rezy,ascent_stats,138,0.72,0.28,0.07,23
rezy,bind_stats,37,0.65,0.30,0.05,18
rezy,breeze_stats,128,0.49,0.23,0.05,17
rezy,icebox_stats,160,0.57,0.30,0.01,18
rezy,lotus_stats,182,0.62,0.34,0.03,21
rezy,split_stats,45,0.56,0.33,0.04,14
rezy,sunset_stats,118,0.49,0.50,0.03,13
tbloy,ascent_stats,20,1.05,0.15,0.45,21
tbloy,sunset_stats,18,0.94,0.06,0.11,17
soren,ascent_stats,61,0.89,0.11,0.16,19
soren,bind_stats,38,0.42,0.32,0.13,10
soren,breeze_stats,95,0.94,0.18,0.26,29
soren,icebox_stats,67,0.87,0.18,0.21,24
soren,lotus_stats,45,0.73,0.11,0.20,19
soren,split_stats,24,0.83,0.13,0.21,20
soren,sunset_stats,46,0.85,0.22,0.22,21
gio,ascent_stats,111,0.74,0.20,0.08,21
gio,bind_stats,87,0.59,0.28,0.06,15
gio,icebox_stats,23,0.48,0.13,0.09,11
gio,lotus_stats,80,0.65,0.18,0.08,18
gio,split_stats,17,0.41,0.18,0.00,7
gio,sunset_stats,60,0.78,0.15,0.13,18
n9sty,ascent_stats,65,1.02,0.09,0.26,24
n9sty,bind_stats,21,0.67,0.05,0.10,14
n9sty,icebox_stats,48,0.75,0.08,0.21,15
n9sty,lotus_stats,74,0.76,0.04,0.05,20
n9sty,split_stats,35,0.69,0.09,0.26,13
n9sty,sunset_stats,48,0.90,0.23,0.15,27
Clewy,ascent_stats,28,0.86,0.07,0.11,24
Clewy,bind_stats,28,0.79,0.25,0.04,22
Clewy,breeze_stats,67,0.81,0.18,0.09,25
Clewy,lotus_stats,22,0.59,0.27,0.00,13
Clewy,sunset_stats,30,0.93,0.13,0.03,28
TenZ,ascent_stats,80,0.84,0.40,0.11,19
TenZ,bind_stats,91,0.74,0.41,0.16,21
TenZ,breeze_stats,59,0.59,0.47,0.08,16
TenZ,icebox_stats,116,0.69,0.74,0.06,19
TenZ,lotus_stats,161,0.78,0.52,0.12,25
TenZ,split_stats,190,0.74,0.52,0.09,20
TenZ,sunset_stats,133,0.89,0.39,0.11,30
Braso,ascent_stats,24,0.79,0.29,0.21,19
Smurfette,ascent_stats,69,0.86,0.14,0.20,22
Smurfette,bind_stats,70,0.69,0.16,0.19,22
Smurfette,icebox_stats,124,0.81,0.19,0.15,28
Smurfette,lotus_stats,82,0.77,0.21,0.15,29
Smurfette,split_stats,38,0.47,0.16,0.16,11
Smurfette,sunset_stats,79,0.84,0.18,0.15,21
karam1l,ascent_stats,21,0.90,0.19,0.19,19
karam1l,breeze_stats,28,0.46,0.14,0.14,13
karam1l,lotus_stats,40,0.85,0.15,0.10,25
karam1l,split_stats,23,0.43,0.39,0.09,10
Zanatsu,ascent_stats,116,0.88,0.13,0.31,26
Zanatsu,bind_stats,38,0.74,0.32,0.18,19
Zanatsu,icebox_stats,24,1.21,0.08,0.17,29
Zanatsu,lotus_stats,48,0.90,0.19,0.23,27
Zanatsu,split_stats,20,0.65,0.35,0.15,13
Zanatsu,sunset_stats,40,0.90,0.33,0.23,25
Blessed,ascent_stats,88,0.64,0.50,0.06,17
Blessed,bind_stats,43,0.79,0.30,0.28,22
Blessed,breeze_stats,23,0.87,0.22,0.13,20
Blessed,icebox_stats,78,0.92,0.24,0.14,23
Blessed,lotus_stats,96,0.74,0.39,0.09,23
Blessed,split_stats,118,0.83,0.37,0.10,28
MKII,ascent_stats,103,0.80,0.29,0.21,22
MKII,icebox_stats,87,0.80,0.23,0.20,25
MKII,lotus_stats,78,0.69,0.24,0.13,20
MKII,split_stats,37,0.68,0.30,0.11,18
Okeanos,ascent_stats,70,1.00,0.14,0.29,28
Okeanos,bind_stats,19,1.00,0.16,,19
Okeanos,icebox_stats,67,0.79,0.18,0.19,19
Okeanos,split_stats,38,0.87,0.26,0.18,20
Okeanos,sunset_stats,67,0.99,0.18,0.27,27
k1zpawn,ascent_stats,70,0.71,0.26,0.10,19
k1zpawn,bind_stats,43,0.70,0.49,0.07,15
k1zpawn,icebox_stats,37,0.78,0.16,0.05,16
k1zpawn,split_stats,26,0.54,0.19,0.00,14
k1zpawn,sunset_stats,40,0.73,0.20,0.10,18
JaebiN,ascent_stats,37,0.89,0.27,0.19,19
JaebiN,bind_stats,44,0.82,0.25,0.14,21
JaebiN,breeze_stats,16,0.75,0.06,0.13,12
JaebiN,icebox_stats,63,0.86,0.16,0.17,23
JaebiN,lotus_stats,135,0.80,0.26,0.19,24
JaebiN,split_stats,100,0.73,0.28,0.15,26
JaebiN,sunset_stats,92,0.98,0.17,0.23,26
esmonde,ascent_stats,17,0.71,0.59,0.00,12
esmonde,bind_stats,67,0.61,0.54,0.07,16
esmonde,breeze_stats,40,0.63,0.40,0.03,14
esmonde,icebox_stats,18,0.28,0.06,0.00,5
esmonde,lotus_stats,20,0.50,0.40,0.10,10
esmonde,split_stats,46,0.74,0.26,0.07,19
phequa,ascent_stats,79,0.81,0.16,0.15,23
phequa,bind_stats,64,1.08,0.14,0.25,32
phequa,icebox_stats,53,0.70,0.19,0.11,16
phequa,lotus_stats,44,0.77,0.18,0.16,21
phequa,split_stats,20,0.50,0.10,0.05,10
phequa,sunset_stats,26,0.54,0.27,0.00,14
k4nzo,ascent_stats,20,0.90,0.20,0.05,18
Nabber,ascent_stats,30,0.77,0.80,0.00,23
Nabber,bind_stats,21,0.90,0.29,0.14,19
Nabber,breeze_stats,24,0.83,0.08,0.04,20
Nabber,icebox_stats,24,0.42,0.13,0.08,10
Nabber,lotus_stats,20,0.65,0.10,0.20,13
Nabber,split_stats,15,0.93,0.33,0.20,14
Nabber,sunset_stats,21,0.86,0.52,0.10,18
Brisk,ascent_stats,20,0.65,0.75,0.10,13
Brisk,icebox_stats,18,0.56,0.22,0.06,10
Brisk,split_stats,18,0.50,0.00,0.06,9
BeYN,ascent_stats,22,0.77,0.23,0.00,17
BeYN,bind_stats,42,0.69,0.48,0.07,18
BeYN,breeze_stats,22,0.73,0.18,0.09,16
BeYN,lotus_stats,21,0.76,0.48,0.10,16
BeYN,split_stats,38,0.71,0.61,0.11,17
BeYN,sunset_stats,21,0.76,0.52,0.00,16
Forcee,ascent_stats,17,0.76,0.71,0.06,13
Forcee,bind_stats,44,0.77,0.34,0.07,18
Forcee,split_stats,24,0.75,0.33,0.00,18
Forcee,sunset_stats,21,0.48,0.38,0.10,10
v1nny,ascent_stats,116,0.71,0.52,0.07,20
v1nny,bind_stats,38,0.92,0.32,0.11,21
v1nny,icebox_stats,24,0.50,0.33,0.04,12
v1nny,lotus_stats,48,0.79,0.46,0.02,20
v1nny,split_stats,20,1.05,0.20,0.10,21
v1nny,sunset_stats,40,0.48,0.15,0.03,10
Black,ascent_stats,85,0.71,0.38,0.06,17
Black,bind_stats,43,0.58,0.30,0.02,13
Black,breeze_stats,24,0.29,0.21,0.04,7
Black,icebox_stats,39,0.49,0.10,0.03,11
Black,lotus_stats,71,0.69,0.39,0.10,21
Black,split_stats,58,0.62,0.24,0.03,16
jurca,ascent_stats,20,0.95,0.25,0.00,19
jurca,lotus_stats,20,0.55,0.30,0.00,11
delz1k,ascent_stats,21,0.76,0.33,0.14,16
delz1k,breeze_stats,22,0.77,0.23,0.00,17
delz1k,icebox_stats,17,0.65,0.18,0.00,11
delz1k,lotus_stats,21,0.95,0.14,0.14,20
dods,ascent_stats,16,0.94,0.44,0.19,15
dods,bind_stats,40,0.85,0.23,0.25,18
dods,breeze_stats,22,1.18,0.14,0.23,26
dods,lotus_stats,64,0.83,0.33,0.14,21
dods,sunset_stats,109,0.98,0.39,0.21,28
Hals,ascent_stats,21,0.57,0.48,0.00,12
Hals,bind_stats,34,0.59,0.41,0.09,20
Hals,breeze_stats,60,0.65,0.15,0.03,22
Hals,icebox_stats,57,0.91,0.14,0.11,18
Hals,lotus_stats,95,0.78,0.20,0.07,24
Hals,sunset_stats,37,0.70,0.22,0.05,23
suther,ascent_stats,21,0.52,0.86,0.05,11
suther,breeze_stats,22,0.36,0.59,0.09,8
suther,icebox_stats,17,0.94,0.29,0.12,16
suther,lotus_stats,21,0.52,0.52,0.10,11
Iczy,ascent_stats,41,0.61,0.78,0.05,15
Iczy,bind_stats,42,0.74,0.26,0.00,19
Iczy,icebox_stats,21,0.62,0.29,0.05,13
Iczy,lotus_stats,45,0.67,0.20,0.02,17
Iczy,split_stats,15,0.60,0.13,0.00,9
Iczy,sunset_stats,20,0.35,0.20,0.05,7
ShawateRR,ascent_stats,115,0.68,0.46,0.07,22
ShawateRR,bind_stats,37,0.70,0.24,0.05,16
ShawateRR,breeze_stats,24,0.96,0.17,0.13,23
ShawateRR,icebox_stats,116,0.62,0.52,0.08,20
ShawateRR,lotus_stats,135,0.68,0.39,0.09,17
ShawateRR,split_stats,22,0.68,0.18,0.00,15
ShawateRR,sunset_stats,118,0.76,0.45,0.08,24
chloric,ascent_stats,19,0.63,0.37,0.11,12
chloric,icebox_stats,20,0.65,0.75,0.00,13
chloric,sunset_stats,21,0.76,0.57,0.05,16
MAGNUM,ascent_stats,54,0.69,0.46,0.09,22
MAGNUM,bind_stats,87,0.54,0.38,0.06,18
MAGNUM,breeze_stats,37,0.65,0.24,0.11,14
MAGNUM,icebox_stats,60,0.87,0.12,0.05,18
MAGNUM,lotus_stats,130,0.62,0.22,0.10,18
MAGNUM,split_stats,98,0.53,0.36,0.05,14
MAGNUM,sunset_stats,102,0.65,0.49,0.09,15
fluxxy,ascent_stats,58,0.67,0.28,0.02,15
fluxxy,bind_stats,26,1.08,0.19,0.12,28
fluxxy,breeze_stats,24,0.83,0.21,0.08,20
fluxxy,icebox_stats,76,0.88,0.17,0.05,23
fluxxy,lotus_stats,46,0.74,0.15,0.09,20
fluxxy,split_stats,64,0.81,0.25,0.08,18
fluxxy,sunset_stats,19,0.53,0.16,0.05,10
PTC,ascent_stats,46,0.74,0.46,0.07,21
PTC,icebox_stats,89,0.85,0.37,0.12,22
PTC,lotus_stats,56,0.75,0.45,0.18,17
PTC,split_stats,43,0.53,0.35,0.09,13
Bocah,ascent_stats,19,0.74,0.58,0.00,14
Bocah,bind_stats,82,0.59,0.40,0.07,29
Bocah,breeze_stats,37,0.70,0.24,0.00,14
Bocah,icebox_stats,54,0.48,0.30,0.06,13
Bocah,lotus_stats,75,0.49,0.36,0.09,10
kasper,ascent_stats,45,0.69,0.44,0.11,18
kasper,bind_stats,65,0.63,0.34,0.08,17
kasper,icebox_stats,99,0.64,0.18,0.06,18
kasper,lotus_stats,38,0.74,0.29,0.13,14
kasper,split_stats,17,0.59,0.29,0.00,10
kasper,sunset_stats,66,0.64,0.35,0.06,15
yuchan,ascent_stats,20,0.95,0.30,0.20,19
yuchan,lotus_stats,19,0.68,0.16,0.16,13
sarah,ascent_stats,69,0.71,0.71,0.06,16
sarah,bind_stats,70,0.69,0.34,0.10,24
sarah,icebox_stats,124,0.48,0.23,0.06,18
sarah,lotus_stats,82,0.61,0.40,0.02,13
sarah,split_stats,38,0.58,0.34,0.08,11
sarah,sunset_stats,79,0.61,0.28,0.08,17
Bobovo,ascent_stats,24,0.83,0.63,0.00,20
Bobovo,bind_stats,19,1.05,0.05,0.05,20
Bobovo,lotus_stats,24,0.79,0.29,0.08,19
azaziN,ascent_stats,24,0.75,0.08,0.25,18
azaziN,bind_stats,22,0.73,0.23,0.18,16
DelBisky,ascent_stats,20,1.00,0.25,0.30,20
DelBisky,icebox_stats,42,0.79,0.17,0.14,17
DelBisky,lotus_stats,18,0.56,0.28,0.11,10
DelBisky,split_stats,35,0.71,0.14,0.11,14
DelBisky,sunset_stats,24,0.83,0.08,0.21,20
BLOOM,ascent_stats,16,0.94,0.38,0.06,15
BLOOM,bind_stats,24,0.75,0.21,0.04,18
Russ,ascent_stats,21,0.81,0.43,0.19,17
Russ,breeze_stats,26,0.81,0.46,0.04,21
Russ,icebox_stats,54,0.65,0.20,0.06,14
Russ,lotus_stats,61,0.59,0.16,0.05,16
Russ,sunset_stats,17,0.59,0.41,0.00,10
prozin,ascent_stats,55,0.71,0.56,0.13,20
prozin,bind_stats,54,0.96,0.37,0.13,20
prozin,breeze_stats,109,0.58,0.45,0.08,15
prozin,icebox_stats,65,0.85,0.34,0.20,28
prozin,lotus_stats,84,0.56,0.36,0.14,16
prozin,split_stats,21,1.10,0.29,0.19,23
prozin,sunset_stats,147,0.80,0.39,0.14,24
39Jia,ascent_stats,20,0.75,0.35,0.10,15
39Jia,icebox_stats,42,0.60,0.33,0.07,15
39Jia,lotus_stats,18,0.89,0.44,0.17,16
39Jia,split_stats,35,0.43,0.17,0.00,9
39Jia,sunset_stats,24,0.58,0.63,0.17,14
Mabuchi,ascent_stats,161,0.86,0.13,0.14,23
Mabuchi,bind_stats,37,1.11,0.19,0.16,26
Mabuchi,breeze_stats,68,0.65,0.21,0.15,21
Mabuchi,icebox_stats,160,0.93,0.16,0.14,33
Mabuchi,lotus_stats,180,0.89,0.20,0.14,28
Mabuchi,split_stats,22,0.41,0.41,0.09,9
Mabuchi,sunset_stats,118,0.82,0.12,0.14,25
RetrQ,ascent_stats,78,0.73,0.32,0.08,25
RetrQ,breeze_stats,41,0.76,0.24,0.15,18
RetrQ,icebox_stats,46,0.72,0.30,0.13,20
RetrQ,split_stats,19,0.89,0.53,0.11,17
RetrQ,sunset_stats,38,0.55,0.34,0.08,12
OXY,ascent_stats,53,0.98,0.15,0.23,35
OXY,bind_stats,44,0.89,0.25,0.16,21
OXY,icebox_stats,37,1.00,0.08,0.32,21
OXY,lotus_stats,22,0.95,0.36,0.32,21
OXY,sunset_stats,20,0.65,0.25,0.15,13
freeing,ascent_stats,26,0.81,0.19,0.08,21
freeing,bind_stats,68,0.47,0.24,0.03,18
freeing,breeze_stats,68,0.75,0.21,0.06,22
freeing,lotus_stats,67,0.87,0.21,0.07,21
babzzz,ascent_stats,22,0.86,0.00,0.09,19
babzzz,bind_stats,22,0.86,0.23,0.09,19
babzzz,breeze_stats,59,0.76,0.25,0.14,22
babzzz,icebox_stats,28,1.14,0.14,0.11,32
babzzz,lotus_stats,68,0.79,0.13,0.16,29
babzzz,split_stats,19,0.47,0.26,0.00,9
babzzz,sunset_stats,39,0.64,0.15,0.15,19
Miku,ascent_stats,45,1.00,0.11,0.27,30
Miku,bind_stats,24,0.75,0.46,0.25,18
Miku,breeze_stats,52,1.08,0.10,0.25,31
Miku,icebox_stats,20,1.00,0.25,0.30,20
Miku,split_stats,24,0.88,0.46,0.17,21
stellar,ascent_stats,36,0.58,0.33,0.00,13
stellar,bind_stats,24,0.63,0.17,0.08,15
stellar,icebox_stats,37,0.57,0.32,0.00,11
stellar,lotus_stats,107,0.75,0.36,0.07,23
stellar,sunset_stats,68,0.62,0.35,0.00,15
Papi,ascent_stats,24,0.58,0.67,0.17,14
Papi,split_stats,19,0.68,0.47,0.05,13
Palla,ascent_stats,86,0.93,0.14,0.27,30
Palla,bind_stats,43,1.05,0.40,0.09,25
Palla,breeze_stats,91,0.89,0.11,0.24,27
Palla,icebox_stats,58,0.79,0.26,0.24,23
Palla,lotus_stats,131,0.92,0.18,0.16,25
Palla,split_stats,70,0.87,0.10,0.19,19
Palla,sunset_stats,106,1.15,0.17,0.23,32
zolters,ascent_stats,23,0.70,0.26,0.17,16
zolters,bind_stats,16,0.69,0.13,0.06,11
zolters,breeze_stats,20,0.45,0.40,0.00,9
zolters,icebox_stats,74,0.54,0.19,0.03,25
zolters,lotus_stats,80,0.64,0.15,0.03,16
zolters,split_stats,21,0.62,0.19,0.00,13
zolters,sunset_stats,38,0.68,0.18,0.00,17
Dantedeu5,ascent_stats,116,0.79,0.16,0.14,17
Dantedeu5,bind_stats,20,0.50,0.30,0.10,10
Dantedeu5,breeze_stats,40,0.98,0.05,0.23,23
Dantedeu5,icebox_stats,24,1.13,0.08,0.17,27
Dantedeu5,lotus_stats,37,0.95,0.70,0.08,24
Dantedeu5,split_stats,118,0.75,0.21,0.14,20
Dantedeu5,sunset_stats,39,1.08,0.18,0.23,24
sabooboo,ascent_stats,35,0.80,0.43,0.03,18
sabooboo,bind_stats,21,0.95,0.29,0.14,20
sabooboo,icebox_stats,17,0.41,0.18,0.06,7
sabooboo,lotus_stats,18,0.89,0.22,0.00,16
sabooboo,sunset_stats,18,0.89,0.44,0.06,16
Banh Bao,ascent_stats,26,0.88,0.15,0.08,23
Banh Bao,breeze_stats,22,0.36,0.14,0.18,8
Banh Bao,icebox_stats,24,0.75,0.13,0.04,18
YuRinChi,ascent_stats,24,0.54,0.58,0.08,13
YuRinChi,lotus_stats,20,0.70,0.05,0.05,14
YuRinChi,split_stats,44,0.68,0.16,0.07,16
YuRinChi,sunset_stats,23,0.78,0.30,0.17,18
tensai,ascent_stats,23,0.61,0.52,0.09,14
tensai,lotus_stats,16,0.44,0.06,0.00,7
biubiu,ascent_stats,43,0.74,0.23,0.07,16
biubiu,icebox_stats,30,0.67,0.13,0.03,20
biubiu,lotus_stats,42,0.52,0.17,0.02,12
xenon,ascent_stats,68,0.69,0.37,0.03,21
xenon,bind_stats,41,0.61,0.32,0.05,15
xenon,icebox_stats,20,0.35,0.35,0.00,7
xenon,lotus_stats,39,0.64,0.33,0.10,23
xenon,split_stats,125,0.54,0.34,0.10,16
xenon,sunset_stats,41,0.54,0.29,0.07,14
Derialy,ascent_stats,52,0.77,0.08,0.06,21
Derialy,bind_stats,54,0.44,0.22,0.04,15
Derialy,breeze_stats,88,0.50,0.11,0.05,15
Derialy,icebox_stats,57,0.37,0.12,0.02,12
Derialy,lotus_stats,71,0.55,0.10,0.07,17
Derialy,split_stats,44,0.61,0.18,0.07,19
Derialy,sunset_stats,34,0.56,0.32,0.12,13
Troizyxgod,ascent_stats,76,0.72,0.26,0.11,19
Troizyxgod,bind_stats,18,0.67,0.33,0.06,12
Troizyxgod,breeze_stats,115,0.59,0.18,0.09,21
Troizyxgod,icebox_stats,62,0.58,0.32,0.08,16
Troizyxgod,split_stats,24,0.79,0.29,0.04,19
Troizyxgod,sunset_stats,73,0.68,0.27,0.12,21
Javelin,ascent_stats,52,0.85,0.12,0.12,24
Javelin,bind_stats,18,1.22,0.33,0.22,22
Javelin,breeze_stats,42,0.52,0.07,0.07,11
Javelin,icebox_stats,62,0.81,0.06,0.15,20
Javelin,sunset_stats,24,0.88,0.04,0.21,21
safiaa,ascent_stats,42,0.83,0.26,0.05,26
safiaa,icebox_stats,39,0.69,0.26,0.13,14
safiaa,lotus_stats,19,0.32,0.32,0.05,6
safiaa,split_stats,22,0.64,0.18,0.09,14
Zap,ascent_stats,36,0.78,0.14,0.11,18
Zap,bind_stats,20,0.90,0.20,0.10,18
Zap,breeze_stats,24,1.00,0.21,0.08,24
Zap,icebox_stats,47,0.64,0.02,0.02,19
Zap,lotus_stats,74,0.76,0.19,0.11,30
Zap,split_stats,86,0.73,0.36,0.10,21
Zap,sunset_stats,52,0.38,0.33,0.04,9
onenineteen,ascent_stats,20,0.85,0.50,0.10,17
onenineteen,icebox_stats,24,0.54,0.08,0.08,13
onenineteen,lotus_stats,24,0.67,0.46,0.00,16
onenineteen,split_stats,22,0.50,0.18,0.00,11
david,ascent_stats,121,0.69,0.40,0.06,24
david,bind_stats,70,0.84,0.36,0.06,25
david,breeze_stats,60,1.05,0.23,0.12,35
david,icebox_stats,43,0.81,0.28,0.07,19
david,split_stats,78,0.71,0.42,0.08,18
david,sunset_stats,39,0.74,0.31,0.03,19
Polvi,ascent_stats,21,0.76,0.10,0.14,16
Polvi,breeze_stats,26,0.62,0.23,0.31,16
Polvi,icebox_stats,54,0.94,0.22,0.20,18
Polvi,lotus_stats,61,0.61,0.16,0.16,21
Polvi,sunset_stats,17,0.65,0.18,0.12,11
Wild0reoo,ascent_stats,46,0.72,0.39,0.11,21
Wild0reoo,icebox_stats,45,0.36,0.36,0.02,10
Wild0reoo,lotus_stats,35,0.63,0.37,0.14,14
Wild0reoo,split_stats,64,0.86,0.36,0.11,20
Wild0reoo,sunset_stats,19,0.84,0.37,0.16,16
clutchyy,ascent_stats,58,0.83,0.38,0.14,27
clutchyy,bind_stats,40,0.70,0.25,0.08,16
clutchyy,icebox_stats,53,0.77,0.17,0.13,21
clutchyy,lotus_stats,24,0.79,0.25,0.13,19
clutchyy,split_stats,20,0.70,0.00,0.10,14
clutchyy,sunset_stats,26,0.73,0.31,0.08,19
Ivory,ascent_stats,40,0.65,0.13,0.10,13
Ivory,breeze_stats,16,0.69,0.38,0.19,11
Ivory,icebox_stats,21,0.71,0.29,0.10,15
Ivory,lotus_stats,23,0.91,0.26,0.39,21
Ivory,sunset_stats,26,0.42,0.42,0.08,11
Yassien,ascent_stats,50,0.74,0.36,0.22,20
Yassien,icebox_stats,75,0.83,0.25,0.07,19
Yassien,split_stats,42,0.74,0.19,0.24,17
Yassien,sunset_stats,60,0.67,0.30,0.13,18
sonder,ascent_stats,98,0.65,0.80,0.08,17
sonder,bind_stats,41,0.63,0.32,0.10,14
sonder,icebox_stats,62,0.63,0.69,0.05,15
sonder,lotus_stats,52,0.81,0.44,0.10,16
