id,user,info.name
3455,Zanatsu,RED Canids
5395,cortezia,RED Canids
1586,v1nny,RED Canids
3433,CTC,RED Canids
3157,gaabxx,RED Canids
5009,LuffysaN,Carnival Gaming
40631,Surve,Carnival Gaming
7485,ezzy,Carnival Gaming
30877,LilBOii,Carnival Gaming
5536,Whimp,Carnival Gaming
4693,blackhawk,Carnival Gaming
30575,r1seN,Carnival Gaming
9741,Aryu,True Rippers
27775,Techno,True Rippers
7434,d1srupt,True Rippers
3488,GauRanG,True Rippers
3628,DEATHMAKER,True Rippers
3627,hellff,True Rippers
3269,Antidote,MLT Esports
10203,tesseract,MLT Esports
15443,traNz,MLT Esports
13221,azys,MLT Esports
12947,rawfiul,MLT Esports
18704,LeVi,MLT Esports
4095,SkRossi,Revenant Esports
7804,severiNe,Revenant Esports
16215,dos9,Revenant Esports
3630,skillZ,Revenant Esports
28612,tricky,Revenant Esports
10463,Paradox,Revenant Esports
16459,Elite,BBL Esports
569,pAura,BBL Esports
8041,Brave,BBL Esports
10146,reazy,BBL Esports
10161,QutionerX,BBL Esports
1427,Redgar,GIANTX
1885,purp0,GIANTX
292,Fit1nho,GIANTX
2690,hoody,GIANTX
4181,Cloud,GIANTX
2173,MAGNUM,Karmine Corp
19691,tomaszy,Karmine Corp
36245,N4RRATE,Karmine Corp
10307,marteen,Karmine Corp
2625,sh1n,Karmine Corp
1144,Boo,Team Heretics
18350,MiniBoo,Team Heretics
21328,Wo0t,Team Heretics
10971,RieNs,Team Heretics
29873,benjyfishy,Team Heretics
12323,RvK,Reckoning Esports
4089,DOXZ3R,Reckoning Esports
10790,LBY,Reckoning Esports
2252,Anq,Reckoning Esports
30286,karam1l,Reckoning Esports
1745,adrnking,Grayfox Esports
3639,Hoax,Grayfox Esports
10758,Kohliii,Grayfox Esports
27336,Venka,Grayfox Esports
9263,sayoo,Grayfox Esports
12320,FOX,Grayfox Esports
4720,Haodong,EDward Gaming
3520,ZmjjKK,EDward Gaming
3017,nobody,EDward Gaming
29401,Muggle,EDward Gaming
15559,CHICHOO,EDward Gaming
4742,Smoggy,EDward Gaming
25949,bunt,All Gamers
14431,monk,All Gamers
10821,deLb,All Gamers
4881,Spitfires,All Gamers
3049,sword9,All Gamers
5009,LuffysaN,Carnival Gaming
40631,Surve,Carnival Gaming
7485,ezzy,Carnival Gaming
30877,LilBOii,Carnival Gaming
5536,Whimp,Carnival Gaming
4693,blackhawk,Carnival Gaming
30575,r1seN,Carnival Gaming
3271,Excali,Medal Esports
19231,Kibojn,Medal Esports
18702,Deadly10,Medal Esports
3268,vibhoRR,Medal Esports
3281,psy,Medal Esports
4321,ceNder,Team Vitality
2168,trexx,Team Vitality
11134,Kicks,Team Vitality
21610,runneR,Team Vitality
312,Sayf,Team Vitality
565,starxo,KOI
14681,kamo,KOI
451,ShadoW,KOI
5550,grubinho,KOI
1428,sheydos,KOI
109,ANGE1,Natus Vincere
384,Shao,Natus Vincere
11,Zyppan,Natus Vincere
2858,SUYGETSU,Natus Vincere
98,ardiis,Natus Vincere
438,Boaster,FNATIC
1380,Leo,FNATIC
5022,Derke,FNATIC
458,Chronicle,FNATIC
9810,Alfajer,FNATIC
11218,Yuicaw,Wolves Esports
14125,Spring,Wolves Esports
14441,aluba,Wolves Esports
3020,coldfish,Wolves Esports
871,pl1xx,Wolves Esports
10486,YHchen,JD Gaming
16924,stew,JD Gaming
36415,Viva,JD Gaming
3519,jkuro,JD Gaming
4320,YiHao,JD Gaming
36668,MarT1n,JD Gaming
114,Enzo,Team Liquid
9780,Jamppi,Team Liquid
457,nAts,Team Liquid
1457,Mistic,Team Liquid
11494,Keiko,Team Liquid
220,beyAz,Gentle Mates
301,TakaS,Gentle Mates
5004,nataNk,Gentle Mates
19522,Wailers,Gentle Mates
868,logaN,Gentle Mates
16459,Elite,BBL Esports
569,pAura,BBL Esports
8041,Brave,BBL Esports
10146,reazy,BBL Esports
10161,QutionerX,BBL Esports
8044,MrFaliN,FUT Esports
8369,yetujey,FUT Esports
6510,AtaKaptan,FUT Esports
573,cNed,FUT Esports
1139,qRaxs,FUT Esports
1265,johnqt,Sentinels
9,TenZ,Sentinels
729,Zellsis,Sentinels
4004,zekken,Sentinels
659,Sacy,Sentinels
1671,kon4n,FURIA
939,mwzera,FURIA
8706,havoc,FURIA
1711,Khalil,FURIA
725,nzr,FURIA
