id,user,ascent_stats,bind_stats,icebox_stats,lotus_stats,split_stats,sunset_stats,breeze_stats
4705,Flex1n,"{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '84', 'KPR': '0.68', 'APR': '0.35', 'FKPR': '', 'KMAX': '20'}","{'RND': '19', 'KPR': '0.53', 'APR': '0.58', 'FKPR': '', 'KMAX': '10'}","{'RND': '62', 'KPR': '0.85', 'APR': '0.34', 'FKPR': '', 'KMAX': '27'}","{'RND': '21', 'KPR': '0.90', 'APR': '0.24', 'FKPR': '', 'KMAX': '19'}","{'RND': '72', 'KPR': '0.58', 'APR': '0.33', 'FKPR': '', 'KMAX': '25'}","{'RND': '34', 'KPR': '0.44', 'APR': '0.38', 'FKPR': '', 'KMAX': '15'}"
41739,slowly,"{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
3547,Ninebody,"{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
4771,ICEKING,"{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '39', 'KPR': '0.64', 'APR': '0.28', 'FKPR': '', 'KMAX': '16'}","{'RND': '19', 'KPR': '0.47', 'APR': '0.00', 'FKPR': '', 'KMAX': '9'}","{'RND': '19', 'KPR': '0.42', 'APR': '0.16', 'FKPR': '', 'KMAX': '8'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '18', 'KPR': '0.44', 'APR': '0.50', 'FKPR': '', 'KMAX': '8'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
4773,AAK,"{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '39', 'KPR': '0.82', 'APR': '0.15', 'FKPR': '', 'KMAX': '16'}","{'RND': '19', 'KPR': '0.58', 'APR': '0.32', 'FKPR': '', 'KMAX': '11'}","{'RND': '19', 'KPR': '0.47', 'APR': '0.11', 'FKPR': '', 'KMAX': '9'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '18', 'KPR': '0.83', 'APR': '0.11', 'FKPR': '', 'KMAX': '15'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
7135,hfmi0dzjc9z7,"{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '39', 'KPR': '1.00', 'APR': '0.18', 'FKPR': '', 'KMAX': '20'}","{'RND': '19', 'KPR': '0.84', 'APR': '0.05', 'FKPR': '', 'KMAX': '16'}","{'RND': '19', 'KPR': '0.89', 'APR': '0.00', 'FKPR': '', 'KMAX': '17'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '18', 'KPR': '0.56', 'APR': '0.17', 'FKPR': '', 'KMAX': '10'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
14444,Eren,"{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '39', 'KPR': '0.77', 'APR': '0.46', 'FKPR': '', 'KMAX': '15'}","{'RND': '19', 'KPR': '0.68', 'APR': '0.32', 'FKPR': '', 'KMAX': '13'}","{'RND': '19', 'KPR': '0.37', 'APR': '0.11', 'FKPR': '', 'KMAX': '7'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '18', 'KPR': '0.67', 'APR': '0.17', 'FKPR': '', 'KMAX': '12'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
11218,Yuicaw,"{'RND': '43', 'KPR': '0.84', 'APR': '0.16', 'FKPR': '', 'KMAX': '21'}","{'RND': '26', 'KPR': '0.54', 'APR': '0.35', 'FKPR': '', 'KMAX': '14'}","{'RND': '23', 'KPR': '0.78', 'APR': '0.30', 'FKPR': '', 'KMAX': '18'}","{'RND': '65', 'KPR': '0.66', 'APR': '0.09', 'FKPR': '', 'KMAX': '17'}","{'RND': '18', 'KPR': '0.94', 'APR': '0.33', 'FKPR': '', 'KMAX': '17'}","{'RND': '22', 'KPR': '0.45', 'APR': '0.18', 'FKPR': '', 'KMAX': '10'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
14125,Spring,"{'RND': '43', 'KPR': '0.84', 'APR': '0.07', 'FKPR': '', 'KMAX': '19'}","{'RND': '26', 'KPR': '0.46', 'APR': '0.23', 'FKPR': '', 'KMAX': '12'}","{'RND': '23', 'KPR': '0.65', 'APR': '0.09', 'FKPR': '', 'KMAX': '15'}","{'RND': '65', 'KPR': '0.65', 'APR': '0.14', 'FKPR': '', 'KMAX': '17'}","{'RND': '18', 'KPR': '0.72', 'APR': '0.33', 'FKPR': '', 'KMAX': '13'}","{'RND': '22', 'KPR': '0.50', 'APR': '0.32', 'FKPR': '', 'KMAX': '11'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
14441,aluba,"{'RND': '43', 'KPR': '0.51', 'APR': '0.28', 'FKPR': '', 'KMAX': '14'}","{'RND': '26', 'KPR': '1.19', 'APR': '0.27', 'FKPR': '', 'KMAX': '31'}","{'RND': '23', 'KPR': '0.48', 'APR': '0.17', 'FKPR': '', 'KMAX': '11'}","{'RND': '65', 'KPR': '0.86', 'APR': '0.34', 'FKPR': '', 'KMAX': '30'}","{'RND': '18', 'KPR': '0.72', 'APR': '0.50', 'FKPR': '', 'KMAX': '13'}","{'RND': '22', 'KPR': '0.73', 'APR': '0.45', 'FKPR': '', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
