Match ID,Team ID,Team Name,Match ID,Match URL
319786,11328,FunPlus Phoenix,298835,https://www.vlr.gg/298835/funplus-phoenix-vs-edward-gaming-champions-tour-2024-china-kickoff-gf
319786,11328,FunPlus Phoenix,298833,https://www.vlr.gg/298833/funplus-phoenix-vs-dragon-ranger-gaming-champions-tour-2024-china-kickoff-sf
319786,1120,EDward Gaming,319782,https://www.vlr.gg/319782/edward-gaming-vs-titan-esports-club-champions-tour-2024-china-stage-1-w3
319786,1120,EDward Gaming,319776,https://www.vlr.gg/319776/tyloo-vs-edward-gaming-champions-tour-2024-china-stage-1-w2
319786,1120,EDward Gaming,319768,https://www.vlr.gg/319768/edward-gaming-vs-jd-gaming-champions-tour-2024-china-stage-1-w1
319786,1120,EDward Gaming,312803,https://www.vlr.gg/312803/loud-vs-edward-gaming-champions-tour-2024-masters-madrid-swiss-stage-r3
319786,1120,EDward Gaming,312797,https://www.vlr.gg/312797/edward-gaming-vs-gen-g-champions-tour-2024-masters-madrid-swiss-stage-r2
319786,1120,EDward Gaming,312767,https://www.vlr.gg/312767/edward-gaming-vs-paper-rex-champions-tour-2024-masters-madrid-swiss-stage-r1
319786,1120,EDward Gaming,298835,https://www.vlr.gg/298835/funplus-phoenix-vs-edward-gaming-champions-tour-2024-china-kickoff-gf
314644,11058,G2 Esports,314642,https://www.vlr.gg/314642/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-w3
314644,11058,G2 Esports,314638,https://www.vlr.gg/314638/g2-esports-vs-furia-champions-tour-2024-americas-stage-1-w3
314644,11058,G2 Esports,314628,https://www.vlr.gg/314628/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w2
314644,11058,G2 Esports,314624,https://www.vlr.gg/314624/g2-esports-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w1
314644,11058,G2 Esports,307574,https://www.vlr.gg/307574/sentinels-vs-g2-esports-champions-tour-2024-americas-kickoff-play-ins
314644,11058,G2 Esports,307573,https://www.vlr.gg/307573/g2-esports-vs-mibr-champions-tour-2024-americas-kickoff-play-ins
314644,11058,G2 Esports,295619,https://www.vlr.gg/295619/g2-esports-vs-kr-esports-champions-tour-2024-americas-kickoff-decider-c
314644,7386,MIBR,314641,https://www.vlr.gg/314641/nrg-esports-vs-mibr-champions-tour-2024-americas-stage-1-w3
314644,7386,MIBR,314634,https://www.vlr.gg/314634/sentinels-vs-mibr-champions-tour-2024-americas-stage-1-w3
314644,7386,MIBR,314630,https://www.vlr.gg/314630/kr-esports-vs-mibr-champions-tour-2024-americas-stage-1-w2
314644,7386,MIBR,307573,https://www.vlr.gg/307573/g2-esports-vs-mibr-champions-tour-2024-americas-kickoff-play-ins
314644,7386,MIBR,307572,https://www.vlr.gg/307572/mibr-vs-sentinels-champions-tour-2024-americas-kickoff-play-ins
314644,7386,MIBR,295609,https://www.vlr.gg/295609/cloud9-vs-mibr-champions-tour-2024-americas-kickoff-decider-a
314644,7386,MIBR,295608,https://www.vlr.gg/295608/furia-vs-mibr-champions-tour-2024-americas-kickoff-elim-a
314645,2,Sentinels,314640,https://www.vlr.gg/314640/sentinels-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w3
314645,2,Sentinels,314634,https://www.vlr.gg/314634/sentinels-vs-mibr-champions-tour-2024-americas-stage-1-w3
314645,2,Sentinels,314629,https://www.vlr.gg/314629/sentinels-vs-leviat-n-champions-tour-2024-americas-stage-1-w2
314645,2,Sentinels,314625,https://www.vlr.gg/314625/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-1-w1
314645,2,Sentinels,312779,https://www.vlr.gg/312779/gen-g-vs-sentinels-champions-tour-2024-masters-madrid-gf
314645,2,Sentinels,312781,https://www.vlr.gg/312781/sentinels-vs-paper-rex-champions-tour-2024-masters-madrid-lbf
314645,2,Sentinels,312778,https://www.vlr.gg/312778/gen-g-vs-sentinels-champions-tour-2024-masters-madrid-ubf
314645,6961,LOUD,314643,https://www.vlr.gg/314643/kr-esports-vs-loud-champions-tour-2024-americas-stage-1-w3
314645,6961,LOUD,314635,https://www.vlr.gg/314635/cloud9-vs-loud-champions-tour-2024-americas-stage-1-w3
314645,6961,LOUD,314623,https://www.vlr.gg/314623/nrg-esports-vs-loud-champions-tour-2024-americas-stage-1-w1
314645,6961,LOUD,312780,https://www.vlr.gg/312780/paper-rex-vs-loud-champions-tour-2024-masters-madrid-lr1
314645,6961,LOUD,312776,https://www.vlr.gg/312776/sentinels-vs-loud-champions-tour-2024-masters-madrid-ubsf
314645,6961,LOUD,312803,https://www.vlr.gg/312803/loud-vs-edward-gaming-champions-tour-2024-masters-madrid-swiss-stage-r3
314645,6961,LOUD,312800,https://www.vlr.gg/312800/funplus-phoenix-vs-loud-champions-tour-2024-masters-madrid-swiss-stage-r2
314327,14,T1,314321,https://www.vlr.gg/314321/t1-vs-talon-esports-champions-tour-2024-pacific-stage-1-w3
314327,14,T1,314315,https://www.vlr.gg/314315/t1-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-1-w2
314327,14,T1,314310,https://www.vlr.gg/314310/t1-vs-drx-champions-tour-2024-pacific-stage-1-w2
314327,14,T1,314308,https://www.vlr.gg/314308/t1-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w1
314327,14,T1,314304,https://www.vlr.gg/314304/t1-vs-paper-rex-champions-tour-2024-pacific-stage-1-w1
314327,14,T1,297256,https://www.vlr.gg/297256/t1-vs-paper-rex-champions-tour-2024-pacific-kickoff-playoffs-sf
314327,14,T1,296737,https://www.vlr.gg/296737/t1-vs-zeta-division-champions-tour-2024-pacific-kickoff-winners-a
314327,5448,ZETA DIVISION,314322,https://www.vlr.gg/314322/gen-g-vs-zeta-division-champions-tour-2024-pacific-stage-1-w3
314327,5448,ZETA DIVISION,314316,https://www.vlr.gg/314316/bleed-vs-zeta-division-champions-tour-2024-pacific-stage-1-w2
314327,5448,ZETA DIVISION,314311,https://www.vlr.gg/314311/team-secret-vs-zeta-division-champions-tour-2024-pacific-stage-1-w2
314327,5448,ZETA DIVISION,314301,https://www.vlr.gg/314301/global-esports-vs-zeta-division-champions-tour-2024-pacific-stage-1-w1
314327,5448,ZETA DIVISION,297255,https://www.vlr.gg/297255/gen-g-vs-zeta-division-champions-tour-2024-pacific-kickoff-play-ins
314327,5448,ZETA DIVISION,297253,https://www.vlr.gg/297253/zeta-division-vs-team-secret-champions-tour-2024-pacific-kickoff-play-ins
314327,5448,ZETA DIVISION,296739,https://www.vlr.gg/296739/zeta-division-vs-global-esports-champions-tour-2024-pacific-kickoff-decider-a
319787,1119,All Gamers,319779,https://www.vlr.gg/319779/bilibili-gaming-vs-all-gamers-champions-tour-2024-china-stage-1-w3
319787,1119,All Gamers,319773,https://www.vlr.gg/319773/all-gamers-vs-wolves-esports-champions-tour-2024-china-stage-1-w2
319787,1119,All Gamers,319767,https://www.vlr.gg/319767/dragon-ranger-gaming-vs-all-gamers-champions-tour-2024-china-stage-1-w1
319787,1119,All Gamers,298695,https://www.vlr.gg/298695/jd-gaming-vs-all-gamers-champions-tour-2024-china-kickoff-elim-b
319787,1119,All Gamers,298693,https://www.vlr.gg/298693/dragon-ranger-gaming-vs-all-gamers-champions-tour-2024-china-kickoff-opening-b
319787,1119,All Gamers,284230,https://www.vlr.gg/284230/all-gamers-vs-lgd-gaming-china-evolution-series-act-3-heriability-decider-d
319787,1119,All Gamers,284228,https://www.vlr.gg/284228/funplus-phoenix-vs-all-gamers-china-evolution-series-act-3-heriability-winners-d
319787,12064,Nova Esports,319781,https://www.vlr.gg/319781/tyloo-vs-nova-esports-champions-tour-2024-china-stage-1-w3
319787,12064,Nova Esports,319778,https://www.vlr.gg/319778/nova-esports-vs-funplus-phoenix-champions-tour-2024-china-stage-1-w3
319787,12064,Nova Esports,319771,https://www.vlr.gg/319771/jd-gaming-vs-nova-esports-champions-tour-2024-china-stage-1-w2
319787,12064,Nova Esports,319769,https://www.vlr.gg/319769/nova-esports-vs-trace-esports-champions-tour-2024-china-stage-1-w1
319787,12064,Nova Esports,298691,https://www.vlr.gg/298691/trace-esports-vs-nova-esports-champions-tour-2024-china-kickoff-decider-a
319787,12064,Nova Esports,298690,https://www.vlr.gg/298690/tyloo-vs-nova-esports-champions-tour-2024-china-kickoff-elim-a
319787,12064,Nova Esports,298688,https://www.vlr.gg/298688/funplus-phoenix-vs-nova-esports-champions-tour-2024-china-kickoff-opening-a
314328,6199,Team Secret,314323,https://www.vlr.gg/314323/team-secret-vs-detonation-focusme-champions-tour-2024-pacific-stage-1-w3
314328,6199,Team Secret,314320,https://www.vlr.gg/314320/team-secret-vs-paper-rex-champions-tour-2024-pacific-stage-1-w3
314328,6199,Team Secret,314311,https://www.vlr.gg/314311/team-secret-vs-zeta-division-champions-tour-2024-pacific-stage-1-w2
314328,6199,Team Secret,314305,https://www.vlr.gg/314305/team-secret-vs-rex-regum-qeon-champions-tour-2024-pacific-stage-1-w1
314328,6199,Team Secret,314302,https://www.vlr.gg/314302/team-secret-vs-drx-champions-tour-2024-pacific-stage-1-w1
314328,6199,Team Secret,297253,https://www.vlr.gg/297253/zeta-division-vs-team-secret-champions-tour-2024-pacific-kickoff-play-ins
314328,6199,Team Secret,297254,https://www.vlr.gg/297254/team-secret-vs-gen-g-champions-tour-2024-pacific-kickoff-play-ins
314328,8304,Talon Esports,314321,https://www.vlr.gg/314321/t1-vs-talon-esports-champions-tour-2024-pacific-stage-1-w3
314328,8304,Talon Esports,314314,https://www.vlr.gg/314314/global-esports-vs-talon-esports-champions-tour-2024-pacific-stage-1-w2
314328,8304,Talon Esports,314307,https://www.vlr.gg/314307/gen-g-vs-talon-esports-champions-tour-2024-pacific-stage-1-w1
314328,8304,Talon Esports,314303,https://www.vlr.gg/314303/bleed-vs-talon-esports-champions-tour-2024-pacific-stage-1-w1
314328,8304,Talon Esports,296734,https://www.vlr.gg/296734/talon-esports-vs-team-secret-champions-tour-2024-pacific-kickoff-decider-b
314328,8304,Talon Esports,296732,https://www.vlr.gg/296732/drx-vs-talon-esports-champions-tour-2024-pacific-kickoff-winners-b
314328,8304,Talon Esports,296731,https://www.vlr.gg/296731/team-secret-vs-talon-esports-champions-tour-2024-pacific-kickoff-opening-b
319788,12010,Bilibili Gaming,319783,https://www.vlr.gg/319783/titan-esports-club-vs-bilibili-gaming-champions-tour-2024-china-stage-1-w4
319788,12010,Bilibili Gaming,319779,https://www.vlr.gg/319779/bilibili-gaming-vs-all-gamers-champions-tour-2024-china-stage-1-w3
319788,12010,Bilibili Gaming,319774,https://www.vlr.gg/319774/trace-esports-vs-bilibili-gaming-champions-tour-2024-china-stage-1-w2
319788,12010,Bilibili Gaming,319765,https://www.vlr.gg/319765/bilibili-gaming-vs-tyloo-champions-tour-2024-china-stage-1-w1
319788,12010,Bilibili Gaming,298832,https://www.vlr.gg/298832/bilibili-gaming-vs-trace-esports-champions-tour-2024-china-kickoff-round-robin
319788,12010,Bilibili Gaming,298831,https://www.vlr.gg/298831/bilibili-gaming-vs-titan-esports-club-champions-tour-2024-china-kickoff-round-robin
319788,12010,Bilibili Gaming,298699,https://www.vlr.gg/298699/wolves-esports-vs-bilibili-gaming-champions-tour-2024-china-kickoff-decider-c
319788,13576,JD Gaming,319780,https://www.vlr.gg/319780/dragon-ranger-gaming-vs-jd-gaming-champions-tour-2024-china-stage-1-w3
319788,13576,JD Gaming,319771,https://www.vlr.gg/319771/jd-gaming-vs-nova-esports-champions-tour-2024-china-stage-1-w2
319788,13576,JD Gaming,319768,https://www.vlr.gg/319768/edward-gaming-vs-jd-gaming-champions-tour-2024-china-stage-1-w1
319788,13576,JD Gaming,298696,https://www.vlr.gg/298696/titan-esports-club-vs-jd-gaming-champions-tour-2024-china-kickoff-decider-b
319788,13576,JD Gaming,298695,https://www.vlr.gg/298695/jd-gaming-vs-all-gamers-champions-tour-2024-china-kickoff-elim-b
319788,13576,JD Gaming,298692,https://www.vlr.gg/298692/jd-gaming-vs-titan-esports-club-champions-tour-2024-china-kickoff-opening-b
319788,13576,JD Gaming,292033,https://www.vlr.gg/292033/rare-atom-vs-dragon-ranger-gaming-champions-tour-2023-china-ascension-gf
314646,188,Cloud9,314639,https://www.vlr.gg/314639/cloud9-vs-100-thieves-champions-tour-2024-americas-stage-1-w3
314646,188,Cloud9,314635,https://www.vlr.gg/314635/cloud9-vs-loud-champions-tour-2024-americas-stage-1-w3
314646,188,Cloud9,314632,https://www.vlr.gg/314632/cloud9-vs-evil-geniuses-champions-tour-2024-americas-stage-1-w2
314646,188,Cloud9,314622,https://www.vlr.gg/314622/cloud9-vs-leviat-n-champions-tour-2024-americas-stage-1-w1
314646,188,Cloud9,295609,https://www.vlr.gg/295609/cloud9-vs-mibr-champions-tour-2024-americas-kickoff-decider-a
314646,188,Cloud9,295607,https://www.vlr.gg/295607/nrg-esports-vs-cloud9-champions-tour-2024-americas-kickoff-winners-a
314646,188,Cloud9,295606,https://www.vlr.gg/295606/cloud9-vs-mibr-champions-tour-2024-americas-kickoff-opening-a
314646,2406,FURIA,314638,https://www.vlr.gg/314638/g2-esports-vs-furia-champions-tour-2024-americas-stage-1-w3
314646,2406,FURIA,314631,https://www.vlr.gg/314631/nrg-esports-vs-furia-champions-tour-2024-americas-stage-1-w2
314646,2406,FURIA,314626,https://www.vlr.gg/314626/kr-esports-vs-furia-champions-tour-2024-americas-stage-1-w1
314646,2406,FURIA,295608,https://www.vlr.gg/295608/furia-vs-mibr-champions-tour-2024-americas-kickoff-elim-a
314646,2406,FURIA,295605,https://www.vlr.gg/295605/nrg-esports-vs-furia-champions-tour-2024-americas-kickoff-opening-a
314646,2406,FURIA,289452,https://www.vlr.gg/289452/global-esports-vs-furia-convergence-2023-d3
314646,2406,FURIA,289450,https://www.vlr.gg/289450/furia-vs-team-vitality-convergence-2023-d2
